current_limit_kA,ac_corridor_mw,dc_corridor_mw,ac_useful_mw,dc_useful_mw,dc_to_ac_corridor_ratio,dc_to_ac_useful_ratio
3.0,702.7276536468448,828.0,683.8678488782708,816.4477440000001,1.1782658554890322,1.1938677119259171
4.0,936.9702048624598,1104.0,911.8237985043611,1088.596992,1.1782658554890322,1.1938677119259171
5.5,1288.334031685882,1518.0,1253.7577229434964,1496.820864,1.1782658554890324,1.1938677119259171
7.0,1639.6978585093045,1932.0,1595.6916473826318,1905.044736,1.1782658554890324,1.1938677119259171
