useful_mw,ac_corridor_mw,line_current_kA,critical_clearing_time_s,stability_ok,thermal_ok,binding_constraint
5.0,5.137890710899111,0.021934062296690916,4.9849706183536515,True,True,none
10.0,10.275781421798222,0.04386812459338183,3.491679488183286,True,True,none
15.0,15.413672132697332,0.06580218689007275,2.8297073334067435,True,True,none
20.0,20.551562843596443,0.08773624918676366,2.4348409288613464,True,True,none
25.0,25.689453554495554,0.10967031148345457,2.165195450263387,True,True,none
30.0,30.827344265394665,0.1316043737801455,1.9660194262248125,True,True,none
35.0,35.96523497629377,0.1535384360768364,1.811115417827847,True,True,none
40.0,41.103125687192886,0.17547249837352732,1.686165168941582,True,True,none
45.0,46.24101639809199,0.19740656067021822,1.582594837921676,True,True,none
50.0,51.37890710899111,0.21934062296690915,1.4949153381458105,True,True,none
55.0,56.516797819890215,0.24127468526360005,1.4194278497932522,True,True,none
60.0,61.65468853078933,0.263208747560291,1.3535368308523696,True,True,none
65.0,66.79257924168843,0.28514280985698187,1.295360001071026,True,True,none
70.0,71.93046995258754,0.3070768721536728,1.2434946043657613,True,True,none
75.0,77.06836066348666,0.3290109344503637,1.1968709548392704,True,True,none
80.0,82.20625137438577,0.35094499674705465,1.1546571885164971,True,True,none
85.0,87.34414208528487,0.3728790590437455,1.1161953234245168,True,True,none
90.0,92.48203279618399,0.39481312134043645,1.0809571497933232,True,True,none
95.0,97.6199235070831,0.41674718363712737,1.0485130690658135,True,True,none
100.0,102.75781421798222,0.4386812459338183,1.0185096163685632,True,True,none
105.0,107.89570492888132,0.46061530823050917,0.9906529442475116,True,True,none
110.0,113.03359563978043,0.4825493705272001,0.9646964849483312,True,True,none
115.0,118.17148635067954,0.5044834328238911,0.9404315966693093,True,True,none
120.0,123.30937706157866,0.526417495120582,0.9176803766984154,True,True,none
125.0,128.44726777247777,0.5483515574172729,0.8962900720955445,True,True,none
130.0,133.58515848337686,0.5702856197139637,0.8761286844956853,True,True,none
135.0,138.72304919427597,0.5922196820106547,0.8570814787719617,True,True,none
140.0,143.8609399051751,0.6141537443073456,0.8390481837796688,True,True,none
145.0,148.9988306160742,0.6360878066040365,0.8219407286699959,True,True,none
150.0,154.13672132697332,0.6580218689007274,0.8056813977320888,True,True,none
155.0,159.27461203787243,0.6799559311974184,0.7902013152773498,True,True,none
160.0,164.41250274877154,0.7018899934941093,0.7754391929876676,True,True,none
165.0,169.55039345967066,0.7238240557908002,0.7613402876288623,True,True,none
170.0,174.68828417056974,0.745758118087491,0.7478555286105112,True,True,none
175.0,179.82617488146886,0.767692180384182,0.7349407836199601,True,True,none
180.0,184.96406559236797,0.7896262426808729,0.7225562372248616,True,True,none
185.0,190.1019563032671,0.8115603049775638,0.7106658624628522,True,True,none
190.0,195.2398470141662,0.8334943672742547,0.6992369694072325,True,True,none
195.0,200.37773772506532,0.8554284295709457,0.6882398177967259,True,True,none
200.0,205.51562843596443,0.8773624918676366,0.6776472832537698,True,True,none
205.0,210.65351914686352,0.8992965541643274,0.6674345685439108,True,True,none
210.0,215.79140985776263,0.9212306164610183,0.6575789528644,True,True,none
215.0,220.92930056866174,0.9431646787577093,0.648059573380261,True,True,none
220.0,226.06719127956086,0.9650987410544002,0.6388572342172608,True,True,none
225.0,231.20508199045997,0.9870328033510911,0.6299542389241001,True,True,none
230.0,236.3429727013591,1.0089668656477822,0.6213342430698313,True,True,none
235.0,241.4808634122582,1.030900927944473,0.6129821241773651,True,True,none
240.0,246.61875412315732,1.052834990241164,0.6048838666335539,True,True,none
245.0,251.7566448340564,1.0747690525378548,0.5970264595793241,True,True,none
250.0,256.89453554495554,1.0967031148345459,0.5893978060842818,True,True,none
255.0,262.03242625585466,1.1186371771312367,0.5819866421607831,True,True,none
260.0,267.1703169667537,1.1405712394279275,0.5747824643818497,True,True,none
265.0,272.30820767765283,1.1625053017246183,0.56777546504298,True,True,none
270.0,277.44609838855195,1.1844393640213093,0.5609564739557856,True,True,none
275.0,282.58398909945106,1.2063734263180002,0.5543169060863031,True,True,none
280.0,287.7218798103502,1.2283074886146912,0.5478487143567191,True,True,none
285.0,292.8597705212493,1.250241550911382,0.5415443470192606,True,True,none
290.0,297.9976612321484,1.272175613208073,0.5353967090877778,True,True,none
295.0,303.1355519430475,1.2941096755047639,0.5293991273782165,True,True,none
300.0,308.27344265394663,1.316043737801455,0.5235453187654943,True,True,none
305.0,313.41133336484575,1.3379778000981457,0.5178293613127491,True,True,none
310.0,318.54922407574486,1.3599118623948367,0.5122456679707003,True,True,none
315.0,323.687114786644,1.3818459246915278,0.5067889625809829,True,True,none
320.0,328.8250054975431,1.4037799869882186,0.5014542579486213,True,True,none
325.0,333.9628962084422,1.4257140492849096,0.49623683577599986,True,True,none
330.0,339.1007869193413,1.4476481115816004,0.4911322282743721,True,True,none
335.0,344.2386776302404,1.4695821738782913,0.48613620128961116,True,True,none
340.0,349.3765683411395,1.491516236174982,0.4812447387969796,True,True,none
345.0,354.5144590520386,1.5134502984716731,0.4764540286355324,True,True,none
350.0,359.6523497629377,1.535384360768364,0.47176044936667844,True,True,none
355.0,364.79024047383683,1.557318423065055,0.4671605581536617,True,True,none
360.0,369.92813118473595,1.5792524853617458,0.4626510795695135,True,True,none
365.0,375.06602189563506,1.6011865476584368,0.45822889525055294,True,True,none
370.0,380.2039126065342,1.6231206099551276,0.4538910343209452,True,True,none
375.0,385.3418033174333,1.6450546722518187,0.4496346645212996,True,True,none
380.0,390.4796940283324,1.6669887345485095,0.4454570839809183,True,True,none
385.0,395.6175847392315,1.6889227968452005,0.44135571357921294,True,True,none
390.0,400.75547545013063,1.7108568591418913,0.43732808984705274,True,True,none
395.0,405.89336616102975,1.7327909214385824,0.4333718583635023,True,True,none
400.0,411.03125687192886,1.7547249837352732,0.4294847676075887,True,True,none
405.0,416.169147582828,1.7766590460319642,0.4256646632284904,True,True,none
410.0,421.30703829372703,1.7985931083286548,0.42190948270089235,True,True,none
415.0,426.44492900462615,1.8205271706253459,0.41821725033526974,True,True,none
420.0,431.58281971552526,1.8424612329220367,0.41458607261556557,True,True,none
425.0,436.7207104264244,1.8643952952187277,0.4110141338391666,True,True,none
430.0,441.8586011373235,1.8863293575154185,0.4074996920362724,True,True,none
435.0,446.9964918482226,1.9082634198121096,0.4040410751477364,True,True,none
440.0,452.1343825591217,1.9301974821088004,0.40063667744224063,True,True,none
445.0,457.27227327002083,1.9521315444054914,0.39728495615528603,True,True,none
450.0,462.41016398091995,1.9740656067021822,0.39398442833394176,True,True,none
455.0,467.54805469181906,1.9959996689988733,0.3907336678726237,True,True,none
460.0,472.6859454027182,2.0179337312955643,0.38753130272637576,True,True,none
465.0,477.8238361136173,2.039867793592255,0.3843760122892221,True,True,none
470.0,482.9617268245164,2.061801855888946,0.3812665249261504,True,True,none
475.0,488.0996175354155,2.083735918185637,0.37820161564819355,True,True,none
480.0,493.23750824631463,2.105669980482328,0.37518010392089984,True,True,none
485.0,498.3753989572137,2.1276040427790184,0.3722008515972359,True,True,none
490.0,503.5132896681128,2.1495381050757096,0.3692627609666525,True,True,none
495.0,508.6511803790119,2.1714721673724005,0.3663647729126702,True,True,none
500.0,513.7890710899111,2.1934062296690917,0.36350586517191946,True,True,none
505.0,518.9269618008102,2.2153402919657825,0.3606850506880904,True,True,none
510.0,524.0648525117093,2.2372743542624733,0.3579013760547351,True,True,none
515.0,529.2027432226084,2.2592084165591646,0.35515392004130303,True,True,none
520.0,534.3406339335074,2.281142478855855,0.3524417921971986,True,True,none
525.0,539.4785246444065,2.303076541152546,0.3497641315290212,True,True,none
530.0,544.6164153553057,2.3250106034492366,0.34712010524649306,True,True,none
535.0,549.7543060662048,2.346944665745928,0.3445089075728928,True,True,none
540.0,554.8921967771039,2.3688787280426187,0.3419297586161078,True,True,none
545.0,560.030087488003,2.3908127903393095,0.339381903296681,True,True,none
