parameter,low_case_multiplier,high_case_multiplier,base_multiplier,low_case_increase_pct,high_case_increase_pct,base_increase_pct
voltage envelope factor,1.1782658554890324,1.4430750636460155,1.4430750636460155,17.82658554890324,44.307506364601544,44.307506364601544
AC power factor,1.5044825131628672,1.4142135623730951,1.4430750636460155,50.448251316286715,41.42135623730952,44.307506364601544
retained DC current,1.298767557281414,1.4430750636460155,1.4430750636460155,29.87675572814139,44.307506364601544,44.307506364601544
converter rating cap,1.15,1.4430750636460155,1.4430750636460155,14.999999999999991,44.307506364601544,44.307506364601544
