architecture,loss_MW,eff,corridor_MW,conversion_MW,current_kA,annual_loss_GWh_at_90pct_LF
Traditional AC,39.12461631186497,0.9623484847748782,11.546474132042828,27.578142179822088,4.3868124593381825,308.4584750027434
Local SST,26.49903090586567,0.9741850405036615,11.270604509926585,15.228426395939112,4.3340905447253455,208.91835966184493
Subtransmission DC backbone,25.704284346690656,0.9749398684016781,5.40064603595031,20.303638310740343,3.6744543934951452,202.65257778930913
Local SST optimistic,21.25805760702324,0.9791844407506224,11.157047506013178,10.101010101010084,4.312201198539863,167.5985261737712
