time_s,poi_voltage_pu,poi_angle_rad,poi_bus
0.000000,1.01660454,-0.13451618,150
0.020000,1.01656852,-0.13620191,150
0.040000,1.01670801,-0.13734454,150
0.060000,1.01681083,-0.13807864,150
0.080000,1.01684617,-0.13858181,150
0.100000,1.01682941,-0.13897980,150
0.120000,1.01678109,-0.13934732,150
0.140000,1.01671722,-0.13972527,150
0.160000,1.01664852,-0.14013491,150
0.180000,1.01658159,-0.14058677,150
0.200000,1.01652022,-0.14108575,150
0.220000,1.01646632,-0.14163383,150
0.240000,1.01642061,-0.14223148,150
0.260000,1.01638305,-0.14287841,150
0.280000,1.01635317,-0.14357394,150
0.300000,1.01633025,-0.14431718,150
0.320000,1.01631347,-0.14510715,150
0.340000,1.01630196,-0.14594283,150
0.360000,1.01629492,-0.14682315,150
0.380000,1.01629159,-0.14774707,150
0.400000,1.01629128,-0.14871354,150
0.420000,1.01629342,-0.14972153,150
0.440000,1.01629750,-0.15077001,150
0.460000,1.01630309,-0.15185799,150
0.480000,1.01630985,-0.15298446,150
0.500000,1.01631747,-0.15414846,150
0.520000,1.01632573,-0.15534902,150
0.540000,1.01633442,-0.15658520,150
0.560000,1.01634339,-0.15785608,150
0.580000,1.01635251,-0.15916072,150
0.600000,1.01636168,-0.16049825,150
0.620000,1.01637081,-0.16186776,150
0.640000,1.01637983,-0.16326839,150
0.660000,1.01638868,-0.16469928,150
0.680000,1.01639732,-0.16615958,150
0.700000,1.01640570,-0.16764846,150
0.720000,1.01641378,-0.16916511,150
0.740000,1.01642154,-0.17070870,150
0.760000,1.01642896,-0.17227845,150
0.780000,1.01643601,-0.17387357,150
0.800000,1.01644267,-0.17549327,150
0.820000,1.01644893,-0.17713680,150
0.840000,1.01645478,-0.17880339,150
0.860000,1.01646021,-0.18049229,150
0.880000,1.01646523,-0.18220276,150
0.900000,1.01646984,-0.18393405,150
0.920000,1.01647403,-0.18568545,150
0.940000,1.01647782,-0.18745622,150
0.960000,1.01648122,-0.18924564,150
0.980000,1.01648425,-0.19105301,150
1.000000,0.10224176,0.02029028,150
1.020000,0.09603573,0.17736983,150
1.040000,0.09359132,0.21213263,150
1.060000,0.87132271,0.11798284,150
1.080000,0.92334997,-0.01869718,150
1.100000,0.96068598,-0.07402588,150
1.120000,0.98536774,-0.09283486,150
1.140000,1.00237418,-0.09446084,150
1.160000,1.01517826,-0.08779238,150
1.180000,1.02557131,-0.07723903,150
1.200000,1.03436511,-0.06508387,150
1.220000,1.04198488,-0.05246058,150
1.240000,1.04849916,-0.03998070,150
1.260000,1.05364147,-0.02799839,150
1.280000,1.05746813,-0.01660484,150
1.300000,1.06013321,-0.00585569,150
1.320000,1.06180374,0.00420075,150
1.340000,1.06264507,0.01352324,150
1.360000,1.06281198,0.02207847,150
1.380000,1.06244373,0.02984194,150
1.400000,1.06166171,0.03679838,150
1.420000,1.06056910,0.04294176,150
1.440000,1.05925161,0.04827483,150
1.460000,1.05777897,0.05280844,150
1.480000,1.05620686,0.05656056,150
1.500000,1.05457896,0.05955518,150
1.520000,1.05292898,0.06182108,150
1.540000,1.05128261,0.06339057,150
1.560000,1.04965921,0.06429832,150
1.580000,1.04807331,0.06458015,150
1.600000,1.04653584,0.06427200,150
1.620000,1.04505509,0.06340911,150
1.640000,1.04363746,0.06202523,150
1.660000,1.04228797,0.06015220,150
1.680000,1.04101060,0.05781954,150
1.700000,1.03980847,0.05505441,150
1.720000,1.03868392,0.05188160,150
1.740000,1.03763847,0.04832369,150
1.760000,1.03667283,0.04440135,150
1.780000,1.03578673,0.04013371,150
1.800000,1.03497896,0.03553864,150
1.820000,1.03424726,0.03063324,150
1.840000,1.03358835,0.02543409,150
1.860000,1.03299797,0.01995756,150
1.880000,1.03247093,0.01422002,150
1.900000,1.03200132,0.00823796,150
1.920000,1.03158258,0.00202807,150
1.940000,1.03120772,-0.00439287,150
1.960000,1.03086957,-0.01100800,150
1.980000,1.03056091,-0.01780062,150
2.000000,1.03027475,-0.02475432,150
2.020000,1.03000446,-0.03185329,150
2.040000,1.02974399,-0.03908245,150
2.060000,1.02948798,-0.04642774,150
2.080000,1.02923186,-0.05387627,150
2.100000,1.02897195,-0.06141642,150
2.120000,1.02870543,-0.06903799,150
2.140000,1.02843034,-0.07673215,150
2.160000,1.02814555,-0.08449140,150
2.180000,1.02785063,-0.09230950,150
2.200000,1.02754579,-0.10018121,150
2.220000,1.02723170,-0.10810216,150
2.240000,1.02690941,-0.11606856,150
2.260000,1.02658021,-0.12407696,150
2.280000,1.02624549,-0.13212399,150
2.300000,1.02590671,-0.14020609,150
2.320000,1.02556525,-0.14831938,150
2.340000,1.02522243,-0.15645941,150
2.360000,1.02487945,-0.16462111,150
2.380000,1.02453741,-0.17279870,150
2.400000,1.02419729,-0.18098568,150
2.420000,1.02386004,-0.18917489,150
2.440000,1.02352654,-0.19735857,150
2.460000,1.02319772,-0.20552851,150
2.480000,1.02287453,-0.21367615,150
2.500000,1.02255800,-0.22179278,150
2.520000,1.02224925,-0.22986966,150
2.540000,1.02194949,-0.23789820,150
2.560000,1.02166000,-0.24587011,150
2.580000,1.02138213,-0.25377747,150
2.600000,1.02111724,-0.26161287,150
2.620000,1.02086665,-0.26936947,150
2.640000,1.02063162,-0.27704101,150
2.660000,1.02041327,-0.28462187,150
2.680000,1.02021253,-0.29210701,150
2.700000,1.02003010,-0.29949200,150
2.720000,1.01986640,-0.30677294,150
2.740000,1.01972155,-0.31394643,150
2.760000,1.01959536,-0.32100951,150
2.780000,1.01948729,-0.32795961,150
2.800000,1.01939652,-0.33479454,150
2.820000,1.01932190,-0.34151241,150
2.840000,1.01926204,-0.34811164,150
2.860000,1.01921532,-0.35459090,150
2.880000,1.01917996,-0.36094918,150
2.900000,1.01915405,-0.36718573,150
2.920000,1.01913562,-0.37330010,150
2.940000,1.01912270,-0.37929214,150
2.960000,1.01911336,-0.38516203,150
2.980000,1.01910575,-0.39091031,150
