useful_mw,ac_corridor_mw,ac_receiving_q_mvar,receiving_voltage_pu,receiving_angle_deg,line_current_kA,source_q_mvar,line_reactive_burden_mvar,converged,voltage_ok,thermal_ok,source_q_ok,binding_constraint,receiving_voltage_real_pu,receiving_voltage_imag_pu
5.0,5.137890710899111,1.043293206239065,0.9998363087520076,-0.03029290628069242,0.021937653293836623,1.0461807662487705,0.002887560009705581,True,True,True,True,none,0.9998361690072528,-0.0005286243846119727
10.0,10.275781421798222,2.08658641247813,0.9996722841142188,-0.06059576185814659,0.04388250558286342,2.0981404544682767,0.011554041990146757,True,True,True,True,none,0.9996717250433661,-0.0010572487692239454
15.0,15.413672132697332,3.129879618717195,0.9995079256200557,-0.09090861048058353,0.0658345823966726,3.155884768361141,0.026005149643945735,True,True,True,True,none,0.9995066675033473,-0.001585873153835918
20.0,20.551562843596443,4.17317282495626,0.9993432328003667,-0.12123149601318245,0.0877939093420292,4.219419444264653,0.04624661930839302,True,True,True,True,none,0.9993409957787421,-0.0021144975384478903
25.0,25.689453554495554,5.216466031195325,0.9991782051838176,-0.1515644624387942,0.10976051209859623,5.288750247491552,0.07228421629622694,True,True,True,True,none,0.9991747092580231,-0.0026431219230598634
30.0,30.827344265394665,6.25975923743439,0.9990128422968823,-0.1819075538586586,0.13173441641935,6.3638829724441175,0.10412373500972727,True,True,True,True,none,0.999007807326577,-0.003171746307671836
35.0,35.96523497629377,7.3030524436734545,0.9988471436638321,-0.21226081449312661,0.15371564813101773,7.444823442745005,0.1417709990715501,True,True,True,True,none,0.9988402893666913,-0.0037003706922838085
40.0,41.103125687192886,8.34634564991252,0.998681108806727,-0.24262428868238617,0.17570423313448794,8.531577511345047,0.185231861432527,True,True,True,True,none,0.9986721547575427,-0.004228995076895781
45.0,46.24101639809199,9.389638856151585,0.9985147372454048,-0.27299802088719305,0.19770019740525407,9.624151060656196,0.23451220450461108,True,True,True,True,none,0.9985034028751827,-0.004757619461507754
50.0,51.37890710899111,10.43293206239065,0.9983480284974723,-0.30338205568960536,0.21970356699383403,10.722550002664555,0.28961794027390475,True,True,True,True,none,0.9983340330925261,-0.005286243846119728
55.0,56.516797819890215,11.476225268629713,0.9981809820782935,-0.33377643779372285,0.24171436802621557,11.82678027906227,0.3505550104325561,True,True,True,True,none,0.9981640447793367,-0.0058148682307316985
60.0,61.65468853078933,12.51951847486878,0.9980135975009816,-0.36418121202643144,0.2637326267042837,12.936847861363699,0.41732938649491835,True,True,True,True,none,0.9979934373022151,-0.006343492615343672
65.0,66.79257924168843,13.562811681107844,0.9978458742763869,-0.39459642333815026,0.28575836930627097,14.052758751039402,0.48994706993155823,True,True,True,True,none,0.9978222100245844,-0.006872116999955643
70.0,71.93046995258754,14.606104887346909,0.9976778119130877,-0.4250221168035858,0.3077916221871907,15.174518979634408,0.5684140922874992,True,True,True,True,none,0.9976503623066776,-0.007400741384567617
