architecture,campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,rss_0p1_20hz_MW,rss_0p1_20hz_pct_load,p99_ramp_MW_s,p99_ramp_pct_load_per_s,p95_pcc_voltage_deviation_pct,buffer_energy_window_MWh,buffer_energy_window_MWh_per_GW,buffer_max_discharge_MW_per_GW,buffer_max_charge_MW_per_GW
Local SST,1,0.25,69,10,coherent,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,2.1591604836426854,,,,
Subtransmission DC backbone,1,0.25,69,10,coherent,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.46344451715529517,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,10,coherent,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,5.249525541753569,,,,
Local SST,1,0.25,69,10,coherent,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,3.1187873652616567,,,,
Subtransmission DC backbone,1,0.25,69,10,coherent,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.6694198581132043,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,random,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,1.0902860740565106,,,,
Local SST,1,0.25,69,20,random,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,0.6477481450928056,,,,
Subtransmission DC backbone,1,0.25,69,20,random,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.13903335514658857,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,random,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,1.3325718682912906,,,,
Local SST,1,0.25,69,20,random,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,0.7916921773356513,,,,
Subtransmission DC backbone,1,0.25,69,20,random,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.16992965629027487,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,random,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,1.8171434567608509,,,,
Local SST,1,0.25,69,20,random,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.0795802418213427,,,,
Subtransmission DC backbone,1,0.25,69,20,random,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.23172225857764758,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,random,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,2.6247627708767847,,,,
Local SST,1,0.25,69,20,random,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.5593936826308283,,,,
Subtransmission DC backbone,1,0.25,69,20,random,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.33470992905660213,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,partial,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,1.0902860740565106,,,,
Local SST,1,0.25,69,20,partial,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,0.6477481450928056,,,,
Subtransmission DC backbone,1,0.25,69,20,partial,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.13903335514658857,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,partial,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,1.3325718682912906,,,,
Local SST,1,0.25,69,20,partial,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,0.7916921773356513,,,,
Subtransmission DC backbone,1,0.25,69,20,partial,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.16992965629027487,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,partial,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,1.8171434567608509,,,,
Local SST,1,0.25,69,20,partial,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.0795802418213427,,,,
Subtransmission DC backbone,1,0.25,69,20,partial,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.23172225857764758,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,partial,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,2.6247627708767847,,,,
Local SST,1,0.25,69,20,partial,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.5593936826308283,,,,
Subtransmission DC backbone,1,0.25,69,20,partial,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.33470992905660213,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,coherent,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,1.0902860740565106,,,,
Local SST,1,0.25,69,20,coherent,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,0.6477481450928056,,,,
Subtransmission DC backbone,1,0.25,69,20,coherent,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.13903335514658857,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,coherent,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,1.3325718682912906,,,,
Local SST,1,0.25,69,20,coherent,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,0.7916921773356513,,,,
Subtransmission DC backbone,1,0.25,69,20,coherent,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.16992965629027487,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,coherent,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,1.8171434567608509,,,,
Local SST,1,0.25,69,20,coherent,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.0795802418213427,,,,
Subtransmission DC backbone,1,0.25,69,20,coherent,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.23172225857764758,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,69,20,coherent,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,2.6247627708767847,,,,
Local SST,1,0.25,69,20,coherent,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,1.5593936826308283,,,,
Subtransmission DC backbone,1,0.25,69,20,coherent,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.33470992905660213,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,138,3,random,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,6.864764169985436,,,,
Local SST,1,0.25,138,3,random,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.078414246880628,,,,
Subtransmission DC backbone,1,0.25,138,3,random,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.875395199071113,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,138,3,random,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,7.2685738270434035,,,,
Local SST,1,0.25,138,3,random,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.318320967285372,,,,
Subtransmission DC backbone,1,0.25,138,3,random,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.9268890343105903,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,138,3,random,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,8.076193141159337,,,,
Local SST,1,0.25,138,3,random,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.798134408094857,,,,
Subtransmission DC backbone,1,0.25,138,3,random,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.0298767047895447,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,138,3,random,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,9.422225331352559,,,,
Local SST,1,0.25,138,3,random,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,5.5978234761106656,,,,
Subtransmission DC backbone,1,0.25,138,3,random,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.2015228222544687,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,138,3,partial,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,6.864764169985436,,,,
Local SST,1,0.25,138,3,partial,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.078414246880628,,,,
Subtransmission DC backbone,1,0.25,138,3,partial,5,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.875395199071113,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,138,3,partial,20,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,7.2685738270434035,,,,
Local SST,1,0.25,138,3,partial,20,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.318320967285372,,,,
Subtransmission DC backbone,1,0.25,138,3,partial,20,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,0.9268890343105903,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,138,3,partial,50,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,8.076193141159337,,,,
Local SST,1,0.25,138,3,partial,50,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.798134408094857,,,,
Subtransmission DC backbone,1,0.25,138,3,partial,50,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.0298767047895447,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,138,3,partial,100,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,9.422225331352559,,,,
Local SST,1,0.25,138,3,partial,100,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,5.5978234761106656,,,,
Subtransmission DC backbone,1,0.25,138,3,partial,100,2.0764690377757122,0.8305876151102849,4.121947044055134,1.6487788176220537,1.2015228222544687,0.1045565195515723,0.4182260782062892,90.87247433410664,334.75852210163544
Traditional AC,1,0.25,138,3,coherent,5,31.516616959054787,12.606646783621914,102.37243628402688,40.94897451361075,6.864764169985436,,,,
Local SST,1,0.25,138,3,coherent,5,18.481671596836694,7.392668638734678,44.38369714018888,17.753478856075553,4.078414246880628,,,,
