architecture,ac_voltage_ll_kV,ac_line_to_ground_peak_kV,dc_pole_kV,voltage_envelope_factor,current_limit_kA,ac_power_factor,dc_current_retention_factor,converter_cap_multiplier,ac_transfer_capacity_MW,dc_thermal_capacity_MW,converter_cap_MW,transfer_capacity_MW,capacity_multiplier_vs_ac,capacity_increase_pct,binding_constraint,reference_note
Traditional AC,138,112.6765281680262,,,3.2,0.98,1.0,,749.5761638899678,,,749.5761638899678,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.2,0.98,1.0,2.0,749.5761638899678,883.2,1499.1523277799356,883.2,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.2,0.98,1.0,2.0,749.5761638899678,1081.6946704130514,1499.1523277799356,1081.6946704130514,1.4430750636460155,44.307506364601544,thermal_current_limit,
UltraNet reported reference,138,112.6765281680262,,,3.2,0.98,1.0,2.0,749.5761638899678,1049.4066294459549,,1049.4066294459549,1.4,39.99999999999999,reported_external_reference,UltraNet reported reference
