time_s,AI_load_MW,grid_traditional_MW,grid_ac_filter_storage_MW,grid_local_sst_MW,grid_local_sst_coord_MW,grid_dc_backbone_MW,dc_buffer_power_MW,dc_buffer_energy_MWh,pcc_v_ac_pct,pcc_v_local_sst_pct,pcc_v_dc_pct,v800_ac_pct,v800_local_sst_pct,v800_dc_pct
0.0,1057.2164934231876,1057.2164934231876,1057.2164934231876,1057.2164934231876,1057.2164934231876,1057.2164934231876,0.0,0.0,0.5721649342318755,0.5714122400232532,0.5491311520942599,3.146907138275316,0.45712979201860254,0.109826230418852
0.02,1057.5454928778906,1057.5454928778906,1057.2174307435714,1057.22236841345,1057.217804177987,1057.216904159086,0.3285887188046672,1.8254928822481514e-06,0.5754549287789064,0.5714709899258787,0.5491352594532442,3.165002108283985,0.4642855301583945,0.11114140676586749
0.04,1057.8698401726901,1057.8698401726901,1057.2192894598936,1057.2339304091508,1057.220401930954,1057.217719310164,0.6521208625260897,5.448386562948649e-06,0.5786984017269015,0.571586609882886,0.549143410964025,3.182841209497958,0.47125930270417343,0.11243716564290936
0.06,1058.1891285803918,1058.1891285803918,1057.222052534311,1057.2509875193516,1057.2242613996768,1057.2189320558198,0.9701965245719748,1.0838367255015177e-05,0.5818912858039175,0.5717571809848937,0.5491555384205821,3.2004020719215465,0.47804484813079806,0.11371189378240433
0.08,1058.5029600625658,1058.5029600625658,1057.2257018435082,1057.273344171909,1057.2293558166605,1057.2205350870393,1.28242497552651,1.7962950452384675e-05,0.5850296006256577,0.5719807475104677,0.5491715687327768,3.2176628034411174,0.48463614760282275,0.11496401364866142
0.1,1058.8109459491197,1058.8109459491197,1057.2302182084813,1057.300801346502,1057.2356569725666,1057.2225206187022,1.5884253304175218,2.6787535621370908e-05,0.5881094594911974,0.5722553192563987,0.5491914240494066,3.2346020272015865,0.49102743666270676,0.11619198613155139
0.12,1059.1127076017651,1059.1127076017651,1057.235581426126,1057.333156815346,1057.243135261926,1057.224880402701,1.887827199064077,3.727546450506023e-05,0.5911270760176512,0.5725788739448375,0.5492150218893949,3.251198918097082,0.4972132164570908,0.11739431317413528
0.14,1059.4078770602343,1059.4078770602343,1057.2417703025765,1057.3702053911475,1057.251759731242,1057.227605741849,2.180271318385394,4.938808294053464e-05,0.5940787706023435,0.5729493597028522,0.5492422752808739,3.267433238312889,0.5031882644821931,0.11856954032971635
0.16,1059.696097670138,1059.696097670138,1057.2487626882391,1057.4117391818438,1057.2614981294048,1057.2306875045558,2.4654101655821705,6.308480608265781e-05,0.5969609767013798,0.5733646976098158,0.5492730929079426,3.2832853718575894,0.5089476448303245,0.1197162592439172
0.18,1059.9770246913838,1059.9770246913838,1057.2565355144588,1057.457547851657,1057.272316960329,1057.2341161402449,2.742908551138953,7.832318692231866e-05,0.5997702469138381,0.5738227843079471,0.5493073792648329,3.2987363580261095,0.5144867179203485,0.12083311005752238
