panel,cluster_load_gw,pole_voltage_kv,bipole_voltage_kv,single_bipole_current_ka
5b,0.9879194630872484,69,138,7.158836689038032
5b,0.9879194630872484,138,276,3.579418344519016
5b,0.9879194630872484,230,460,2.1476510067114094
5b,0.9879194630872484,320,640,1.5436241610738257
5b,1.020805369127517,69,138,7.3971403559965
5b,1.020805369127517,138,276,3.69857017799825
5b,1.020805369127517,230,460,2.21914210679895
5b,1.020805369127517,320,640,1.5950083892617455
5b,1.0536912751677854,69,138,7.6354440229549665
5b,1.0536912751677854,138,276,3.8177220114774832
5b,1.0536912751677854,230,460,2.29063320688649
5b,1.0536912751677854,320,640,1.6463926174496646
5b,1.0865771812080538,69,138,7.873747689913434
5b,1.0865771812080538,138,276,3.936873844956717
5b,1.0865771812080538,230,460,2.36212430697403
5b,1.0865771812080538,320,640,1.6977768456375841
5b,1.1194630872483224,69,138,8.112051356871902
5b,1.1194630872483224,138,276,4.056025678435951
5b,1.1194630872483224,230,460,2.4336154070615708
5b,1.1194630872483224,320,640,1.749161073825504
5b,1.1523489932885909,69,138,8.35035502383037
5b,1.1523489932885909,138,276,4.175177511915185
5b,1.1523489932885909,230,460,2.5051065071491108
5b,1.1523489932885909,320,640,1.8005453020134232
5b,1.1852348993288593,69,138,8.588658690788836
5b,1.1852348993288593,138,276,4.294329345394418
5b,1.1852348993288593,230,460,2.5765976072366508
5b,1.1852348993288593,320,640,1.8519295302013428
5b,1.2181208053691277,69,138,8.826962357747304
5b,1.2181208053691277,138,276,4.413481178873652
5b,1.2181208053691277,230,460,2.6480887073241908
5b,1.2181208053691277,320,640,1.903313758389262
5b,1.2510067114093963,69,138,9.065266024705771
5b,1.2510067114093963,138,276,4.5326330123528855
5b,1.2510067114093963,230,460,2.7195798074117317
5b,1.2510067114093963,320,640,1.9546979865771819
5b,1.2838926174496648,69,138,9.303569691664237
5b,1.2838926174496648,138,276,4.651784845832118
5b,1.2838926174496648,230,460,2.7910709074992717
5b,1.2838926174496648,320,640,2.0060822147651014
5b,1.3167785234899332,69,138,9.541873358622704
5b,1.3167785234899332,138,276,4.770936679311352
5b,1.3167785234899332,230,460,2.8625620075868112
5b,1.3167785234899332,320,640,2.0574664429530207
5b,1.3496644295302016,69,138,9.780177025581171
5b,1.3496644295302016,138,276,4.8900885127905855
5b,1.3496644295302016,230,460,2.9340531076743512
5b,1.3496644295302016,320,640,2.10885067114094
5b,1.38255033557047,69,138,10.018480692539638
5b,1.38255033557047,138,276,5.009240346269819
5b,1.38255033557047,230,460,3.0055442077618912
5b,1.38255033557047,320,640,2.16023489932886
5b,1.4154362416107387,69,138,10.256784359498107
5b,1.4154362416107387,138,276,5.128392179749054
5b,1.4154362416107387,230,460,3.077035307849432
5b,1.4154362416107387,320,640,2.2116191275167796
5b,1.448322147651007,69,138,10.495088026456573
5b,1.448322147651007,138,276,5.2475440132282865
