architecture,trial,thdv_pct,mvasc3,line_scale,source_count,tdd_proxy_pct
traditional_ac,0,0.9695017593372096,1975.770433316994,0.7912135023831303,3,2.341217631917204
traditional_ac,1,3.0690451866841015,1057.0863621544863,0.8151930855106496,3,2.341217631917204
traditional_ac,2,1.5718714429651404,1857.6962331995571,1.3209318378528399,3,2.341217631917204
traditional_ac,3,2.367235808888416,1943.6767592319218,1.2505768813115865,3,2.341217631917204
traditional_ac,4,2.958270198521363,1631.8070612592712,1.3640694407158205,3,2.341217631917204
traditional_ac,5,2.3849617387407562,1662.4522790297376,1.2933595731540546,3,2.341217631917204
traditional_ac,6,2.5691769613079587,980.6375442449481,0.880404208650168,3,2.341217631917204
traditional_ac,7,2.650608820503391,1237.0111072465686,0.9126122312625715,3,2.341217631917204
traditional_ac,8,4.040038691187608,1060.2995279508282,1.3681000325087638,3,2.341217631917204
traditional_ac,9,4.857703689847728,902.7992996280109,0.9240157868474985,3,2.341217631917204
traditional_ac,10,2.914315843118229,1450.1610235211444,1.1792631339344941,3,2.341217631917204
traditional_ac,11,2.6083098853144078,1368.0951724031424,1.2518378054126909,3,2.341217631917204
traditional_ac,12,1.9534982688003129,2300.9756944733726,0.8766518114057457,3,2.341217631917204
traditional_ac,13,2.3556595559168167,1767.9843815074112,1.4417171985533865,3,2.341217631917204
traditional_ac,14,3.9525433946429662,1134.3977853068525,0.9178874928846628,3,2.341217631917204
traditional_ac,15,3.432827661617933,1124.383680322347,1.338827755404749,3,2.341217631917204
traditional_ac,16,1.3228184499343858,2250.044339039291,0.8219824531812345,3,2.341217631917204
traditional_ac,17,1.9122163944403137,1231.8433430027874,1.2512611059025005,3,2.341217631917204
traditional_ac,18,2.441027225771782,1382.8750535935421,1.3864263093658564,3,2.341217631917204
traditional_ac,19,2.1043534218198516,998.3207753482693,1.1277797390704278,3,2.341217631917204
traditional_ac,20,2.1437282841140224,1659.009292447523,1.2297083467038297,3,2.341217631917204
traditional_ac,21,1.848344699772371,1799.266095423271,0.9189907074264515,3,2.341217631917204
traditional_ac,22,2.658797294414513,1936.1297835275866,1.2379216929123624,3,2.341217631917204
traditional_ac,23,2.1226325472304577,2095.4795718008745,1.208840845105398,3,2.341217631917204
traditional_ac,24,2.159747930087805,2329.3924222748574,0.9202991202551931,3,2.341217631917204
traditional_ac,25,1.8140964327176867,1780.2126280622692,1.3917246952290694,3,2.341217631917204
traditional_ac,26,1.8737275196014733,2295.483016766659,0.954637067278671,3,2.341217631917204
traditional_ac,27,2.531843587785981,1623.1341185573624,1.231631440716627,3,2.341217631917204
traditional_ac,28,3.090606988886713,833.242990829094,1.2137747802635972,3,2.341217631917204
traditional_ac,29,1.9382203283989212,1770.2838362164603,1.2503794245750055,3,2.341217631917204
traditional_ac,30,2.3853767757302666,1640.237947832405,0.9758682775560233,3,2.341217631917204
traditional_ac,31,1.7096187185746212,2057.497617086673,1.1599417805334817,3,2.341217631917204
traditional_ac,32,2.1099088694727524,1267.0946787508447,0.7891559877848671,3,2.341217631917204
traditional_ac,33,2.3251557578175603,2125.534365506315,0.9056583930807078,3,2.341217631917204
traditional_ac,34,2.090343298444155,2430.3797202875976,1.3925378787274834,3,2.341217631917204
traditional_ac,35,2.667895072902051,1919.5559837763092,0.759677826025155,3,2.341217631917204
traditional_ac,36,1.8697732237451854,2026.949214429462,0.8959046065565104,3,2.341217631917204
traditional_ac,37,2.4705710865536537,1226.3746313674112,0.9817627509444462,3,2.341217631917204
traditional_ac,38,2.471562171767517,1577.9337694162505,1.2629495277017297,3,2.341217631917204
traditional_ac,39,2.0992180721158107,1587.153237021695,1.0488702982903182,3,2.341217631917204
traditional_ac,40,2.546100946206339,1753.3159268753006,1.146968417705039,3,2.341217631917204
traditional_ac,41,2.1195988685452143,1443.7907348809235,1.1870640368805465,3,2.341217631917204
traditional_ac,42,1.7349936356738302,2352.6919998285575,1.268999460990261,3,2.341217631917204
traditional_ac,43,2.2631926369965956,1701.3305256889141,1.4194881727936002,3,2.341217631917204
traditional_ac,44,2.5373669405074177,1190.3306863034038,0.984392783358933,3,2.341217631917204
traditional_ac,45,3.289854903532078,874.6722886666771,1.044467132928036,3,2.341217631917204
traditional_ac,46,2.3472641117345283,1793.1514621247345,1.2861786154361639,3,2.341217631917204
traditional_ac,47,2.165132838734119,1687.8587617966366,1.4063093777176539,3,2.341217631917204
traditional_ac,48,4.067111482359173,1030.3748627974894,1.023068640391375,3,2.341217631917204
traditional_ac,49,2.7981781961628176,1690.1665291087854,0.8350707463218094,3,2.341217631917204
traditional_ac,50,1.6447797069583363,1597.585046633825,1.3787525415577488,3,2.341217631917204
traditional_ac,51,2.7573391922804777,1239.1014719058512,0.9001827040740604,3,2.341217631917204
traditional_ac,52,2.6905578470964158,1101.2185474432288,1.2951074075826616,3,2.341217631917204
traditional_ac,53,2.705432480364601,946.4855497208994,1.0606874210403676,3,2.341217631917204
traditional_ac,54,2.789164209782868,1992.9847373283403,0.8461382152137201,3,2.341217631917204
traditional_ac,55,1.8194770504640783,1714.1344821939394,1.0558413296935845,3,2.341217631917204
traditional_ac,56,3.9622075840389104,1253.0961255625004,0.8122198281933158,3,2.341217631917204
traditional_ac,57,1.750635622083073,2013.9859979102018,0.757323506603271,3,2.341217631917204
traditional_ac,58,1.6570775007007994,2194.0249644393343,1.2011443983623518,3,2.341217631917204
traditional_ac,59,3.668623373857575,908.502073420089,1.1990492563225883,3,2.341217631917204
local_sst,0,0.7518742617709745,2123.044005186836,0.7859638667412745,3,1.0800782379068659
local_sst,1,1.1746213688926468,1598.1841882806443,0.8011340009811704,3,1.0800782379068659
local_sst,2,0.8761574901592888,1587.4244644098671,0.7636813076187521,3,1.0800782379068659
local_sst,3,1.0256776649428192,1862.0431648954452,1.3072339305959888,3,1.0800782379068659
local_sst,4,1.4617715573883832,1197.7995967317056,1.065604979698974,3,1.0800782379068659
local_sst,5,0.7717290544629198,2169.795020870239,0.7877129060131365,3,1.0800782379068659
local_sst,6,1.2224271294633537,1820.6258946620346,1.1633357026096198,3,1.0800782379068659
local_sst,7,0.7470036914941658,2172.244951788747,1.3775947244279103,3,1.0800782379068659
local_sst,8,1.1489423648341701,2242.6512175832713,0.8707097644785563,3,1.0800782379068659
local_sst,9,0.9907415528475978,1938.8718561446155,1.0400471728938263,3,1.0800782379068659
local_sst,10,1.4027877588223372,1172.4410459193407,1.0565941761539617,3,1.0800782379068659
local_sst,11,1.5837595132645093,1017.2249456499814,1.446568321016882,3,1.0800782379068659
local_sst,12,0.7895246287971142,1842.3849560453439,1.2259888374573533,3,1.0800782379068659
local_sst,13,1.2682393441136257,1758.6754937191579,1.170657260659461,3,1.0800782379068659
local_sst,14,1.09102874327389,2304.1810628708763,1.232145144320855,3,1.0800782379068659
local_sst,15,1.0283376085354285,967.4040274744373,1.0520319912766665,3,1.0800782379068659
local_sst,16,0.8651672154400275,2357.1990274438886,1.1521697293961572,3,1.0800782379068659
local_sst,17,1.0103658342961057,2317.852799266039,1.2745651745650424,3,1.0800782379068659
local_sst,18,1.0770220862229138,1258.4649009847055,1.128197645175283,3,1.0800782379068659
local_sst,19,1.3022809000931173,1704.7260913466444,0.7945016867550226,3,1.0800782379068659
local_sst,20,1.1692896431641246,1993.705899574065,1.371346794560059,3,1.0800782379068659
local_sst,21,1.270924204971429,1171.951689665445,1.30330450617076,3,1.0800782379068659
local_sst,22,1.2478428785051134,1762.292073750683,0.8611757828456158,3,1.0800782379068659
local_sst,23,1.2041567803269564,1630.33326062091,0.9068267600278745,3,1.0800782379068659
