parameter,low_case_saving_MW,high_case_saving_MW,base_saving_MW
corridor length,10.363717653655055,22.59017489973199,13.420331965174313
conductor resistance,10.975040515958902,18.31091486360514,13.420331965174313
traditional downstream efficiency,27.82764084932017,3.965227415583847,13.420331965174313
DC terminal efficiency,7.1913585784535385,16.506703934121248,13.420331965174313
HV DC/DC efficiency,7.1581627833497485,16.5230035230664,13.420331965174313
34.5 kV/800 V DC/DC efficiency,6.092176643073792,17.561358911329386,13.420331965174313
AC power factor,14.423918671082973,12.963091589545371,13.420331965174313
