architecture,ac_voltage_ll_kV,ac_line_to_ground_peak_kV,dc_pole_kV,voltage_envelope_factor,current_limit_kA,ac_power_factor,dc_current_retention_factor,converter_cap_multiplier,ac_transfer_capacity_MW,dc_thermal_capacity_MW,converter_cap_MW,transfer_capacity_MW,capacity_multiplier_vs_ac,capacity_increase_pct,binding_constraint,reference_note
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.6582278481012658,0.98,1.0,2.0,622.6700728516346,898.5596550108418,1245.3401457032692,898.5596550108418,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.708860759493671,0.98,1.0,,634.5304551916659,,,634.5304551916659,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.708860759493671,0.98,1.0,2.0,634.5304551916659,747.6455696202532,1269.0609103833317,747.6455696202532,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.708860759493671,0.98,1.0,2.0,634.5304551916659,915.6750770110483,1269.0609103833317,915.6750770110483,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.759493670886076,0.98,1.0,,646.3908375316969,,,646.3908375316969,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.759493670886076,0.98,1.0,2.0,646.3908375316969,761.620253164557,1292.7816750633938,761.620253164557,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.759493670886076,0.98,1.0,2.0,646.3908375316969,932.7904990112548,1292.7816750633938,932.7904990112548,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.810126582278481,0.98,1.0,,658.251219871728,,,658.251219871728,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.810126582278481,0.98,1.0,2.0,658.251219871728,775.5949367088607,1316.502439743456,775.5949367088607,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.810126582278481,0.98,1.0,2.0,658.251219871728,949.9059210114613,1316.502439743456,949.9059210114613,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.8607594936708862,0.98,1.0,,670.1116022117593,,,670.1116022117593,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.8607594936708862,0.98,1.0,2.0,670.1116022117593,789.5696202531645,1340.2232044235186,789.5696202531645,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.8607594936708862,0.98,1.0,2.0,670.1116022117593,967.0213430116679,1340.2232044235186,967.0213430116679,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.911392405063291,0.98,1.0,,681.9719845517902,,,681.9719845517902,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.911392405063291,0.98,1.0,2.0,681.9719845517902,803.5443037974684,1363.9439691035805,803.5443037974684,1.1782658554890326,17.82658554890326,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.911392405063291,0.98,1.0,2.0,681.9719845517902,984.1367650118743,1363.9439691035805,984.1367650118743,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,2.962025316455696,0.98,1.0,,693.8323668918214,,,693.8323668918214,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,2.962025316455696,0.98,1.0,2.0,693.8323668918214,817.5189873417721,1387.6647337836428,817.5189873417721,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,2.962025316455696,0.98,1.0,2.0,693.8323668918214,1001.2521870120808,1387.6647337836428,1001.2521870120808,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.0126582278481013,0.98,1.0,,705.6927492318526,,,705.6927492318526,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.0126582278481013,0.98,1.0,2.0,705.6927492318526,831.493670886076,1411.3854984637053,831.493670886076,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.0126582278481013,0.98,1.0,2.0,705.6927492318526,1018.3676090122874,1411.3854984637053,1018.3676090122874,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.0632911392405062,0.98,1.0,,717.5531315718837,,,717.5531315718837,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.0632911392405062,0.98,1.0,2.0,717.5531315718837,845.4683544303797,1435.1062631437674,845.4683544303797,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.0632911392405062,0.98,1.0,2.0,717.5531315718837,1035.4830310124937,1435.1062631437674,1035.4830310124937,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.113924050632911,0.98,1.0,,729.4135139119148,,,729.4135139119148,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.113924050632911,0.98,1.0,2.0,729.4135139119148,859.4430379746834,1458.8270278238297,859.4430379746834,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.113924050632911,0.98,1.0,2.0,729.4135139119148,1052.5984530127002,1458.8270278238297,1052.5984530127002,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.1645569620253164,0.98,1.0,,741.2738962519461,,,741.2738962519461,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.1645569620253164,0.98,1.0,2.0,741.2738962519461,873.4177215189874,1482.5477925038922,873.4177215189874,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.1645569620253164,0.98,1.0,2.0,741.2738962519461,1069.7138750129068,1482.5477925038922,1069.7138750129068,1.4430750636460152,44.30750636460152,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.2151898734177218,0.98,1.0,,753.1342785919771,,,753.1342785919771,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.2151898734177218,0.98,1.0,2.0,753.1342785919771,887.3924050632912,1506.2685571839543,887.3924050632912,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.2151898734177218,0.98,1.0,2.0,753.1342785919771,1086.8292970131135,1506.2685571839543,1086.8292970131135,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.2658227848101267,0.98,1.0,,764.9946609320083,,,764.9946609320083,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.2658227848101267,0.98,1.0,2.0,764.9946609320083,901.367088607595,1529.9893218640166,901.367088607595,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.2658227848101267,0.98,1.0,2.0,764.9946609320083,1103.9447190133199,1529.9893218640166,1103.9447190133199,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.3164556962025316,0.98,1.0,,776.8550432720394,,,776.8550432720394,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.3164556962025316,0.98,1.0,2.0,776.8550432720394,915.3417721518987,1553.7100865440789,915.3417721518987,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.3164556962025316,0.98,1.0,2.0,776.8550432720394,1121.0601410135264,1553.7100865440789,1121.0601410135264,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.367088607594937,0.98,1.0,,788.7154256120706,,,788.7154256120706,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.367088607594937,0.98,1.0,2.0,788.7154256120706,929.3164556962026,1577.4308512241412,929.3164556962026,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.367088607594937,0.98,1.0,2.0,788.7154256120706,1138.175563013733,1577.4308512241412,1138.175563013733,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.4177215189873418,0.98,1.0,,800.5758079521017,,,800.5758079521017,1.0,0.0,thermal_current_limit,
