time_s,fault_current_kA,backbone_voltage_pu,campus1_voltage_pu,campus2_voltage_pu,campus3_voltage_pu
0.0,0.0,1.0,1.0,0.988,0.99
0.0001,1.035,1.0,1.0,0.988,0.99
0.0002,2.0355000000000003,1.0,1.0,0.988,0.99
0.00030000000000000003,3.0026500000000005,1.0,1.0,0.988,0.99
0.0004,3.9375616666666677,1.0,1.0,0.988,0.99
0.0005,4.841309611111112,1.0,1.0,0.988,0.99
0.0006000000000000001,5.714932624074076,1.0,1.0,0.988,0.99
0.0007,6.559434869938273,1.0,1.0,0.988,0.99
0.0008,7.375787040940331,1.0,1.0,0.988,0.99
0.0009000000000000001,8.164927472908987,1.0,1.0,0.988,0.99
0.001,8.92776322381202,1.0,1.0,0.988,0.99
0.0011,9.665171116351619,1.0,1.0,0.988,0.99
0.0012000000000000001,10.377998745806567,1.0,1.0,0.988,0.99
0.0013000000000000002,11.067065454279682,1.0,1.0,0.988,0.99
0.0014,11.733163272470357,1.0,1.0,0.988,0.99
0.0015,12.377057830054678,1.0,1.0,0.988,0.99
0.0016,12.999489235719523,1.0,1.0,0.988,0.99
0.0017000000000000001,13.601172927862205,1.0,1.0,0.988,0.99
0.0018000000000000002,14.182800496933464,1.0,1.0,0.988,0.99
0.0019,14.745040480369015,1.0,1.0,0.988,0.99
0.002,15.288539131023382,1.0,1.0,0.988,0.99
0.0021000000000000003,15.81392115998927,1.0,1.0,0.988,0.99
0.0022,16.321790454656295,1.0,1.0,0.988,0.99
0.0023,16.81273077283442,1.0,1.0,0.988,0.99
0.0024000000000000002,17.28730641373994,1.0,1.0,0.988,0.99
0.0025,17.74606286661528,1.0,1.0,0.988,0.99
0.0026000000000000003,18.189527437728103,1.0,1.0,0.988,0.99
0.0027,18.6182098564705,1.0,1.0,0.988,0.99
0.0028,19.032602861254816,1.0,1.0,0.988,0.99
0.0029000000000000002,19.433182765879657,1.0,1.0,0.988,0.99
0.003,19.820410007017,1.0,1.0,0.988,0.99
0.0031000000000000003,20.194729673449768,0.9968317877290809,0.9892564449840514,0.988,0.99
0.0032,20.55657201766811,0.9937263102643717,0.9786904653133038,0.988,0.99
0.0033,20.906352950412508,0.9906823253734798,0.9682991259254641,0.988,0.99
0.0034000000000000002,21.244474518732094,0.9876986154218618,0.9580795402705515,0.988,0.99
0.0035,21.57132536810769,0.9847739868857536,0.9480288695090602,0.988,0.99
0.0036000000000000003,21.887281189170764,0.9819072698747452,0.9381443217233737,0.988,0.99
0.0037,22.192705149531744,0.9790973176638089,0.9284231511422154,0.988,0.99
