harmonic_order,nominal,low_damping,shifted
2.0,1.0000004309983004,1.0000309483938994,1.0000000014989152
2.1103678929765888,1.00000063380235,1.0000432163615323,1.0000000023413604
2.220735785953177,1.0000009276105066,1.0000600608965415,1.0000000036399297
2.331103678929766,1.0000013511731278,1.0000830747318024,1.000000005631852
2.4414715719063547,1.0000019587989668,1.0001143614390253,1.000000008672474
2.551839464882943,1.0000028261958842,1.0001566836938545,1.000000013291326
2.6622073578595318,1.000004058337671,1.000213649321595,1.0000000202734254
2.7725752508361206,1.0000057999950858,1.000289943088761,1.000000030776518
2.882943143812709,1.000008249746398,1.0003916133880688,1.000000046499187
2.9933110367892977,1.0000116785008704,1.000526424176599,1.000000069920538
3.103678929765886,1.0000164538344387,1.000704283719008,1.0000001046399905
3.2140468227424748,1.0000230717573293,1.0009377627934093,1.0000001558562228
3.3244147157190636,1.000032197915304,1.0012427159515962,1.0000002310383793
3.4347826086956523,1.000044720675885,1.001639020081955,1.0000003408612546
3.5451505016722407,1.0000618190732424,1.0021514447761097,1.0000005005006818
3.6555183946488294,1.0000850491833773,1.0028106687019662,1.0000007314173114
3.7658862876254178,1.0001164531746296,1.0036544551707969,1.0000010637983767
3.8762541806020065,1.0001586960229605,1.0047289981742655,1.0000015398802107
3.9866220735785953,1.0002152356867895,1.0060904471702357,1.0000022184420003
4.096989966555183,1.0002905333850507,1.0078066146254572,1.0000031808467549
4.207357859531772,1.0003903114883053,1.0099588646017248,1.000004539112434
4.317725752508361,1.0005218673793346,1.0126441733481932,1.0000064466287515
4.4280936454849495,1.0006944524175327,1.015977343826313,1.0000091122978658
4.538461538461538,1.000919725787871,1.0200933452958714,1.0000128190747803
4.648829431438127,1.0012122934528784,1.0251497365618198,1.0000179481206724
4.759197324414716,1.0015903425626136,1.031329117353875,1.0000250100642296
4.869565217391305,1.0020763814061338,1.0388415368367332,1.0000346851965445
4.979933110367893,1.0026980941887644,1.0479267718184684,1.0000478748073054
5.090301003344481,1.0034893184628102,1.058856370379339,1.0000657663053567
5.20066889632107,1.0044911507902028,1.0719353400814144,1.0000899152542557
5.311036789297659,1.0057531830399074,1.0875033444956448,1.0001223479889623
5.421404682274247,1.007334867495963,1.105935258495908,1.0001656890547224
