campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,Local SST,Subtransmission DC backbone,Traditional AC,dc_vs_traditional_reduction_pct,dc_vs_local_reduction_pct,local_vs_traditional_reduction_pct,dc_p95_minus_traditional_p95_pctpt,dc_p95_minus_local_p95_pctpt
1,0.25,69,3,coherent,5,7.09816936852714,2.534471779922266,18.65020737651849,86.41049008863415,64.2940080979194,61.940533822352684,-16.115735596596224,-4.5636975886048745
1,0.25,69,3,coherent,20,8.174096197375755,2.5595327391389415,21.5360736418483,88.11513750507739,68.68726918138468,62.044631099830205,-18.97654090270936,-5.614563458236814
1,0.25,69,3,coherent,50,9.007438047517132,2.613743077756167,23.34914737044007,88.80583073853414,70.98239184141116,61.42283953836998,-20.735404292683903,-6.393694969760965
1,0.25,69,3,coherent,100,10.046447432692249,2.770241816075712,25.941268972312024,89.32110137313451,72.4256575805987,61.27233620138184,-23.171027156236313,-7.2762056166165365
1,0.25,69,3,partial,5,7.332658436141232,2.4873285508897784,19.175375870510603,87.02852779686584,66.07876157669878,61.760027622624236,-16.688047319620825,-4.845329885251454
1,0.25,69,3,partial,20,8.014794070144829,2.5297646214135985,21.51080232673407,88.23956176534821,68.43631165974693,62.74060842359247,-18.98103770532047,-5.485029448731231
1,0.25,69,3,partial,50,8.871812473897407,2.5895700679270024,23.243948935235128,88.85916470070404,70.81126234863486,61.831733073338626,-20.654378867308125,-6.282242405970404
1,0.25,69,3,partial,100,9.535577664278955,2.8204139857525306,26.60505291221856,89.39895366846936,70.42220109728612,64.15877203574486,-23.78463892646603,-6.715163678526425
1,0.25,69,3,random,5,6.970012444338342,2.5412564523785206,18.83845719519382,86.51027296955687,63.540144688798186,63.001150401442786,-16.2972007428153,-4.428755991959822
1,0.25,69,3,random,20,7.808813394906103,2.5801296652248653,21.497227498907893,87.99784918610578,66.95874859926923,63.67525349348977,-18.917097833683027,-5.228683729681238
1,0.25,69,3,random,50,8.743274224252552,2.6249527648265993,24.382191591415257,89.23413937182406,69.97746270447097,64.1407369330533,-21.757238826588658,-6.118321459425953
1,0.25,69,3,random,100,10.410949327040559,2.6709326452470457,27.606881123067318,90.32511990999478,74.34496546525511,62.288571169520694,-24.935948477820272,-7.740016681793513
1,0.25,69,5,coherent,5,4.25086265125742,1.5273534158596946,11.411125004555096,86.6152249208557,64.06956561139658,62.74808443899651,-9.883771588695401,-2.7235092353977253
1,0.25,69,5,coherent,20,4.7755498343786025,1.5490888002040282,12.584916616949016,87.69090930552723,67.56208491318996,62.053385177403364,-11.035827816744987,-3.2264610341745743
1,0.25,69,5,coherent,50,5.433817508868796,1.5793339714284222,14.404154170980345,89.03556604100876,70.93509362707314,62.27603895120646,-12.824820199551922,-3.854483537440374
1,0.25,69,5,coherent,100,6.198939708248891,1.5856886091426698,16.54105089621133,90.41361628658149,74.42000271380921,62.52390644859973,-14.955362287068661,-4.613251099106221
1,0.25,69,5,partial,5,4.244308144150984,1.4857610238077101,11.472075923908156,87.04889129341151,64.99403499118661,63.00313759861267,-9.986314900100446,-2.7585471203432737
1,0.25,69,5,partial,20,4.942054680120485,1.5531520159429155,12.306041379669763,87.37894690888326,68.57274723829947,59.840418802060725,-10.752889363726847,-3.3889026641775697
1,0.25,69,5,partial,50,5.4976465844349,1.6363272237697095,14.374966140736653,88.61682728328253,70.23586004232196,61.755411938986526,-12.738638916966943,-3.8613193606651905
1,0.25,69,5,partial,100,6.133104084323414,1.662716420254273,15.839062322524345,89.50243147986251,72.889479823043,61.27861637616214,-14.176345902270072,-4.470387664069142
1,0.25,69,5,random,5,4.28884714752558,1.5443337969162774,11.223839498106868,86.24059264945154,63.99186672326922,61.78805703476977,-9.67950570119059,-2.7445133506093025
1,0.25,69,5,random,20,4.722981803305106,1.5129407923867177,13.159372438480563,88.50294115878516,67.96640649074757,64.10936900384254,-11.646431646093845,-3.2100410109183883
1,0.25,69,5,random,50,5.147642314140993,1.5966127864730821,14.72599622556227,89.15786231357586,68.98361057280424,65.04384331427842,-13.129383439089187,-3.5510295276679105
1,0.25,69,5,random,100,6.063414686369258,1.6807863519890112,17.178618041885656,90.21582325254079,72.27987134431906,64.70371090628375,-15.497831689896644,-4.382628334380247
