campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,Local SST_ramp_pct_load_per_s,Subtransmission DC backbone_ramp_pct_load_per_s,Traditional AC_ramp_pct_load_per_s,Local SST_p95_voltage_pct,Subtransmission DC backbone_p95_voltage_pct,Traditional AC_p95_voltage_pct,dc_ramp_reduction_vs_traditional_pct,dc_voltage_reduction_vs_traditional_pct
1,0.25,69,3,coherent,5,17.753478856075553,1.6487788176220537,40.94897451361075,4.318320967285372,0.9268890343105903,7.2685738270434035,95.97357726974572,87.24799312263963
1,0.25,69,3,coherent,20,17.753478856075553,1.6487788176220537,40.94897451361075,5.277947848904342,1.132864375268499,8.883812455275269,95.97357726974572,87.24799312263963
1,0.25,69,3,coherent,50,17.753478856075553,1.6487788176220537,40.94897451361075,7.197201612142285,1.544815057184317,12.114289711739003,95.97357726974572,87.24799312263963
1,0.25,69,3,coherent,100,17.753478856075553,1.6487788176220537,40.94897451361075,10.395957884205524,2.231399527044014,17.498418472511897,95.97357726974572,87.24799312263963
1,0.25,69,3,partial,5,17.753478856075553,1.6487788176220537,40.94897451361075,4.318320967285372,0.9268890343105903,7.2685738270434035,95.97357726974572,87.24799312263963
1,0.25,69,3,partial,20,17.753478856075553,1.6487788176220537,40.94897451361075,5.277947848904342,1.132864375268499,8.883812455275269,95.97357726974572,87.24799312263963
1,0.25,69,3,partial,50,17.753478856075553,1.6487788176220537,40.94897451361075,7.197201612142285,1.544815057184317,12.114289711739003,95.97357726974572,87.24799312263963
1,0.25,69,3,partial,100,17.753478856075553,1.6487788176220537,40.94897451361075,10.395957884205524,2.231399527044014,17.498418472511897,95.97357726974572,87.24799312263963
1,0.25,69,3,random,5,17.753478856075553,1.6487788176220537,40.94897451361075,4.318320967285372,0.9268890343105903,7.2685738270434035,95.97357726974572,87.24799312263963
1,0.25,69,3,random,20,17.753478856075553,1.6487788176220537,40.94897451361075,5.277947848904342,1.132864375268499,8.883812455275269,95.97357726974572,87.24799312263963
1,0.25,69,3,random,50,17.753478856075553,1.6487788176220537,40.94897451361075,7.197201612142285,1.544815057184317,12.114289711739003,95.97357726974572,87.24799312263963
1,0.25,69,3,random,100,17.753478856075553,1.6487788176220537,40.94897451361075,10.395957884205524,2.231399527044014,17.498418472511897,95.97357726974572,87.24799312263963
1,0.25,69,5,coherent,5,17.753478856075553,1.6487788176220537,40.94897451361075,2.5909925803712226,0.5561334205863543,4.361144296226042,95.97357726974572,87.24799312263963
1,0.25,69,5,coherent,20,17.753478856075553,1.6487788176220537,40.94897451361075,3.1667687093426053,0.6797186251610995,5.330287473165162,95.97357726974572,87.24799312263963
1,0.25,69,5,coherent,50,17.753478856075553,1.6487788176220537,40.94897451361075,4.318320967285371,0.9268890343105903,7.2685738270434035,95.97357726974572,87.24799312263963
1,0.25,69,5,coherent,100,17.753478856075553,1.6487788176220537,40.94897451361075,6.237574730523313,1.3388397162264085,10.499051083507139,95.97357726974572,87.24799312263963
1,0.25,69,5,partial,5,17.753478856075553,1.6487788176220537,40.94897451361075,2.5909925803712226,0.5561334205863543,4.361144296226042,95.97357726974572,87.24799312263963
1,0.25,69,5,partial,20,17.753478856075553,1.6487788176220537,40.94897451361075,3.1667687093426053,0.6797186251610995,5.330287473165162,95.97357726974572,87.24799312263963
1,0.25,69,5,partial,50,17.753478856075553,1.6487788176220537,40.94897451361075,4.318320967285371,0.9268890343105903,7.2685738270434035,95.97357726974572,87.24799312263963
1,0.25,69,5,partial,100,17.753478856075553,1.6487788176220537,40.94897451361075,6.237574730523313,1.3388397162264085,10.499051083507139,95.97357726974572,87.24799312263963
1,0.25,69,5,random,5,17.753478856075553,1.6487788176220537,40.94897451361075,2.5909925803712226,0.5561334205863543,4.361144296226042,95.97357726974572,87.24799312263963
1,0.25,69,5,random,20,17.753478856075553,1.6487788176220537,40.94897451361075,3.1667687093426053,0.6797186251610995,5.330287473165162,95.97357726974572,87.24799312263963
1,0.25,69,5,random,50,17.753478856075553,1.6487788176220537,40.94897451361075,4.318320967285371,0.9268890343105903,7.2685738270434035,95.97357726974572,87.24799312263963
1,0.25,69,5,random,100,17.753478856075553,1.6487788176220537,40.94897451361075,6.237574730523313,1.3388397162264085,10.499051083507139,95.97357726974572,87.24799312263963
1,0.25,69,10,coherent,5,17.753478856075553,1.6487788176220537,40.94897451361075,1.2954962901856113,0.27806671029317714,2.180572148113021,95.97357726974572,87.24799312263963
1,0.25,69,10,coherent,20,17.753478856075553,1.6487788176220537,40.94897451361075,1.5833843546713027,0.33985931258054974,2.665143736582581,95.97357726974572,87.24799312263963
1,0.25,69,10,coherent,50,17.753478856075553,1.6487788176220537,40.94897451361075,2.1591604836426854,0.46344451715529517,3.6342869135217017,95.97357726974572,87.24799312263963
1,0.25,69,10,coherent,100,17.753478856075553,1.6487788176220537,40.94897451361075,3.1187873652616567,0.6694198581132043,5.249525541753569,95.97357726974572,87.24799312263963
1,0.25,69,10,partial,5,17.753478856075553,1.6487788176220537,40.94897451361075,1.2954962901856113,0.27806671029317714,2.180572148113021,95.97357726974572,87.24799312263963
1,0.25,69,10,partial,20,17.753478856075553,1.6487788176220537,40.94897451361075,1.5833843546713027,0.33985931258054974,2.665143736582581,95.97357726974572,87.24799312263963
1,0.25,69,10,partial,50,17.753478856075553,1.6487788176220537,40.94897451361075,2.1591604836426854,0.46344451715529517,3.6342869135217017,95.97357726974572,87.24799312263963
1,0.25,69,10,partial,100,17.753478856075553,1.6487788176220537,40.94897451361075,3.1187873652616567,0.6694198581132043,5.249525541753569,95.97357726974572,87.24799312263963
1,0.25,69,10,random,5,17.753478856075553,1.6487788176220537,40.94897451361075,1.2954962901856113,0.27806671029317714,2.180572148113021,95.97357726974572,87.24799312263963
1,0.25,69,10,random,20,17.753478856075553,1.6487788176220537,40.94897451361075,1.5833843546713027,0.33985931258054974,2.665143736582581,95.97357726974572,87.24799312263963
1,0.25,69,10,random,50,17.753478856075553,1.6487788176220537,40.94897451361075,2.1591604836426854,0.46344451715529517,3.6342869135217017,95.97357726974572,87.24799312263963
1,0.25,69,10,random,100,17.753478856075553,1.6487788176220537,40.94897451361075,3.1187873652616567,0.6694198581132043,5.249525541753569,95.97357726974572,87.24799312263963
1,0.25,69,20,coherent,5,17.753478856075553,1.6487788176220537,40.94897451361075,0.6477481450928056,0.13903335514658857,1.0902860740565106,95.97357726974572,87.24799312263963
1,0.25,69,20,coherent,20,17.753478856075553,1.6487788176220537,40.94897451361075,0.7916921773356513,0.16992965629027487,1.3325718682912906,95.97357726974572,87.24799312263963
1,0.25,69,20,coherent,50,17.753478856075553,1.6487788176220537,40.94897451361075,1.0795802418213427,0.23172225857764758,1.8171434567608509,95.97357726974572,87.24799312263963
1,0.25,69,20,coherent,100,17.753478856075553,1.6487788176220537,40.94897451361075,1.5593936826308283,0.33470992905660213,2.6247627708767847,95.97357726974572,87.24799312263963
1,0.25,69,20,partial,5,17.753478856075553,1.6487788176220537,40.94897451361075,0.6477481450928056,0.13903335514658857,1.0902860740565106,95.97357726974572,87.24799312263963
1,0.25,69,20,partial,20,17.753478856075553,1.6487788176220537,40.94897451361075,0.7916921773356513,0.16992965629027487,1.3325718682912906,95.97357726974572,87.24799312263963
1,0.25,69,20,partial,50,17.753478856075553,1.6487788176220537,40.94897451361075,1.0795802418213427,0.23172225857764758,1.8171434567608509,95.97357726974572,87.24799312263963
1,0.25,69,20,partial,100,17.753478856075553,1.6487788176220537,40.94897451361075,1.5593936826308283,0.33470992905660213,2.6247627708767847,95.97357726974572,87.24799312263963
1,0.25,69,20,random,5,17.753478856075553,1.6487788176220537,40.94897451361075,0.6477481450928056,0.13903335514658857,1.0902860740565106,95.97357726974572,87.24799312263963
