time_s,fault_current_kA,backbone_voltage_pu,campus1_voltage_pu,campus2_voltage_pu,campus3_voltage_pu
0.0,0.0,1.0,1.0,1.0,1.0
0.0001,2.3,1.0,1.0,1.0,1.0
0.0002,4.523333333333334,1.0,1.0,1.0,1.0
0.00030000000000000003,6.672555555555556,1.0,1.0,1.0,1.0
0.0004,8.750137037037039,1.0,1.0,1.0,1.0
0.0005,10.758465802469138,1.0,1.0,1.0,1.0
0.0006000000000000001,12.699850275720168,1.0,1.0,1.0,1.0
0.0007,14.576521933196162,1.0,1.0,1.0,1.0
0.0008,16.39063786875629,1.0,1.0,1.0,1.0
0.0009000000000000001,18.14428327313108,1.0,1.0,1.0,1.0
0.001,19.83947383069338,1.0,1.0,1.0,1.0
0.0011,21.478158036336932,1.0,1.0,1.0,1.0
0.0012000000000000001,23.0622194351257,1.0,1.0,1.0,1.0
0.0013000000000000002,24.59347878728818,1.0,1.0,1.0,1.0
0.0014,26.073696161045238,1.0,1.0,1.0,1.0
0.0015,27.504572955677062,1.0,1.0,1.0,1.0
0.0016,28.887753857154493,1.0,1.0,1.0,1.0
0.0017000000000000001,30.224828728582676,1.0,1.0,1.0,1.0
0.0018000000000000002,31.51733443762992,1.0,1.0,1.0,1.0
0.0019,32.766756623042255,1.0,1.0,1.0,1.0
0.002,33.97453140227418,1.0,1.0,1.0,1.0
0.0021000000000000003,35.142047022198376,1.0,1.0,1.0,1.0
0.0022,36.27064545479177,1.0,1.0,1.0,1.0
0.0023,37.36162393963205,1.0,1.0,1.0,1.0
0.0024000000000000002,38.416236474977644,1.0,1.0,1.0,1.0
0.0025,39.435695259145064,1.0,1.0,1.0,1.0
0.0026000000000000003,40.421172083840226,1.0,1.0,1.0,1.0
0.0027,41.373799681045554,1.0,1.0,1.0,1.0
0.0028,42.2946730250107,1.0,1.0,1.0,1.0
0.0029000000000000002,43.18485059084368,1.0,1.0,1.0,1.0
0.003,44.04535557114889,1.0,1.0,1.0,1.0
0.0031000000000000003,44.877177052110596,0.9968317877290809,0.9968317877290809,0.975,0.98
0.0032,45.681271150373576,0.9937263102643717,0.9937263102643717,0.975,0.98
0.0033,46.45856211202779,0.9906823253734798,0.9906823253734798,0.975,0.98
0.0034000000000000002,47.209943374960204,0.9876986154218618,0.9876986154218618,0.975,0.98
0.0035,47.93627859579487,0.9847739868857536,0.9847739868857536,0.975,0.98
0.0036000000000000003,48.6384026426017,0.9819072698747452,0.9819072698747452,0.975,0.98
0.0037,49.31712255451498,0.9790973176638089,0.9790973176638089,0.975,0.98
0.0038,49.97321846936448,0.9763430062345938,0.9763430062345938,0.975,0.98
0.0039000000000000003,50.60744452038567,0.9736432338258035,0.9736432338258035,0.975,0.98
0.004,51.22052970303948,0.9709969204924771,0.9709969204924771,0.975,0.98
0.0041,51.81317871293816,0.9684030076739966,0.9684030076739966,0.975,0.98
0.004200000000000001,52.386072755840225,0.9658604577706486,0.9658604577706486,0.975,0.98
0.0043,52.93987033064555,0.9633682537285706,0.9633682537285706,0.975,0.98
0.0044,53.4752079862907,0.960925398632916,0.960925398632916,0.975,0.98
0.0045000000000000005,53.99270105341434,0.9585309153090749,0.9585309153090749,0.975,0.98
0.0046,54.49294435163387,0.9561838459317905,0.9561838459317905,0.975,0.98
0.0047,54.97651287324607,0.9538832516420176,0.9538832516420176,0.975,0.98
0.0048000000000000004,55.44396244413787,0.951628212171365,0.951628212171365,0.975,0.98
0.0049,55.89583036266661,0.9494178254739769,0.9494178254739769,0.975,0.98
0.005,56.33263601724439,0.9472512073657023,0.9472512073657023,0.975,0.98
0.0051,56.75488148333624,0.9451274911704091,0.9451274911704091,0.975,0.98
0.005200000000000001,57.16305210055837,0.9430458273733026,0.9430458273733026,0.975,0.98
0.0053,57.55761703053975,0.9410053832811082,0.9410053832811082,0.975,0.98
0.0054,57.93902979618843,0.9390053426889825,0.9390053426889825,0.975,0.98
0.0055000000000000005,58.30772880298215,0.9370449055540213,0.9370449055540213,0.975,0.98
