scenario,thdv_pct
Traditional AC,2.162746345850114
Traditional AC,1.4353752424367257
Traditional AC,1.362892004407371
Traditional AC,2.051255531608943
Traditional AC,1.9342302579857436
Traditional AC,2.049262174132695
Traditional AC,2.9953109174852717
Traditional AC,1.8186106236419703
Traditional AC,2.1333607867081574
Traditional AC,1.8773887737399704
Traditional AC,2.206419718226608
Traditional AC,1.9940098497416552
Traditional AC,3.0405469218778234
Traditional AC,1.7408066066606296
Traditional AC,1.7568520792861315
Traditional AC,1.9879441369063402
Traditional AC,2.565056269295117
Traditional AC,5.760563601648075
Traditional AC,3.255169959478373
Traditional AC,2.4163195045869967
Traditional AC,2.139283863412099
Traditional AC,2.9503290343549162
Traditional AC,2.390010398941214
Traditional AC,2.231546439148613
Traditional AC,1.655687455794109
Traditional AC,4.28070719506418
Traditional AC,2.6798491665779514
Traditional AC,2.5696730310817117
Traditional AC,2.8605146673713753
Traditional AC,2.420048698868796
Traditional AC,2.0082959298280847
Traditional AC,2.08846016785893
Traditional AC,5.987207146405647
Traditional AC,1.3766739832680455
Traditional AC,0.958518584640743
Traditional AC,2.8133848342342755
Traditional AC,2.120178080348696
Traditional AC,1.2895945834374654
Traditional AC,2.632161856826767
Traditional AC,2.8084886551559274
Traditional AC,1.8248328498907915
Traditional AC,2.9816295142049127
Traditional AC,2.4984924044330645
Traditional AC,1.6898593783153422
Traditional AC,1.5573282087200429
Traditional AC,2.6605290078246795
Traditional AC,2.8149418505660684
Traditional AC,1.3291114758521048
Traditional AC,1.7191039734946119
Traditional AC,1.8432493405966655
Traditional AC,1.5303800748575664
Traditional AC,1.750548823134289
Traditional AC,2.576125997102178
Traditional AC,3.7709116378528766
Traditional AC,2.059039756281769
Traditional AC,2.572190632832696
Traditional AC,2.2722873846705203
Traditional AC,2.6308111637460896
Traditional AC,4.676991072785105
Traditional AC,4.572825592060004
Traditional AC,1.5386039028397869
Traditional AC,1.4082994442825316
Traditional AC,2.724701697141148
Traditional AC,1.9578926660472369
Traditional AC,1.37929031941234
Traditional AC,1.592059633965543
Traditional AC,2.6815816471425022
Traditional AC,1.1818111742160509
Traditional AC,3.1609883178734814
Traditional AC,1.9637400694611638
Traditional AC,2.0610115422272046
Traditional AC,1.375185827410445
Traditional AC,1.777205618834839
Traditional AC,1.643185606485086
Traditional AC,1.3846564929450438
Traditional AC,1.069048399523339
Traditional AC,2.767795327924631
Traditional AC,2.2882263576592474
Traditional AC,1.729958972581546
Traditional AC,2.298741119888599
Traditional AC,2.321720734427607
Traditional AC,2.573521578743998
Traditional AC,1.7439929349377985
Traditional AC,4.072819362069688
Traditional AC,1.857032070449912
Traditional AC,2.4627962142836735
Traditional AC,1.5602146746022048
Traditional AC,2.634128860466466
Traditional AC,1.8414198081187267
Traditional AC,2.5089826499703913
Traditional AC,3.0844609604700257
Traditional AC,2.4648536491166544
Traditional AC,1.6861324699753035
Traditional AC,1.8090300823178433
Traditional AC,1.591664344783014
Traditional AC,2.587926638120211
Traditional AC,1.8284539694669313
Traditional AC,2.932020825048339
Traditional AC,1.2816996421289295
Traditional AC,4.688914571669659
Traditional AC,1.9425613743285552
Traditional AC,2.5899022174099833
Traditional AC,2.283287670955416
Traditional AC,1.9715578258527573
Traditional AC,1.7422249630729774
Traditional AC,1.0430618238405374
Traditional AC,1.6205845268929704
Traditional AC,3.4169141329550117
Traditional AC,2.4317189294573294
Traditional AC,1.6844704099892167
Traditional AC,1.1987300467352096
Traditional AC,1.6610385784255022
Traditional AC,2.49835755208593
Traditional AC,3.067183042055469
Traditional AC,1.518211292319976
Traditional AC,1.4979259034185266
Traditional AC,1.6184623221315948
Traditional AC,2.2091747823856407
Traditional AC,5.112771402401721
Traditional AC,2.094517156198988
Traditional AC,3.5705468701559604
Traditional AC,2.9833487026806202
Traditional AC,2.891967081999353
Traditional AC,1.5561502528376672
Traditional AC,1.887498321368759
Traditional AC,1.9018635736573848
Traditional AC,2.7536687116284075
Traditional AC,2.000196735641496
Traditional AC,1.8318775218565164
Traditional AC,2.3228698124041216
Traditional AC,2.103108046395874
Traditional AC,1.3297348111778076
Traditional AC,2.8412486811481905
Traditional AC,4.448567983908953
Traditional AC,2.5447258046576486
Traditional AC,1.942383142840757
Traditional AC,2.133358048494066
Traditional AC,2.1857641067536275
Traditional AC,3.6532014570313733
Traditional AC,2.655449441016166
Traditional AC,2.973166038582369
Traditional AC,2.110859152820539
Traditional AC,2.3894695124885104
Traditional AC,2.8992730571482834
Traditional AC,3.2930540641021606
Traditional AC,2.571994280752738
Traditional AC,2.6743603278164714
Traditional AC,2.2749810710954224
Traditional AC,2.7521452113117992
Traditional AC,2.0964487077318354
Traditional AC,4.261637832823313
Traditional AC,1.6979280634036675
Traditional AC,3.141310974643561
Traditional AC,1.8659875997020294
Traditional AC,1.1587407830352074
Traditional AC,1.4930188555626398
Traditional AC,1.5923425319846225
Traditional AC,1.429602405277009
Traditional AC,2.6373241460642567
Traditional AC,2.453253471719158
Traditional AC,1.2079792805325005
Traditional AC,1.4329939372283416
Traditional AC,4.0065231748557215
Traditional AC,1.5629494255964052
Traditional AC,1.9704248119949177
Traditional AC,2.658493020015294
Traditional AC,3.094083501969404
Traditional AC,2.608122029216989
Traditional AC,2.7019252318188576
Traditional AC,2.957038720622199
Traditional AC,1.7679702265160602
Traditional AC,2.258754240793769
Traditional AC,4.065552303130859
Traditional AC,1.8422100475402847
Traditional AC,1.4990584466596983
Traditional AC,0.6786450743265986
Traditional AC,3.594715489602666
Traditional AC,1.8966346318982001
Traditional AC,1.6523652319392559
Traditional AC,1.8697312892197473
Traditional AC,2.5935019476460575
Traditional AC,1.4375515497960083
Traditional AC,2.1796369714899737
Traditional AC,2.579626943294746
Traditional AC,2.1596708055073113
Traditional AC,1.8686212338346564
Traditional AC,2.4461277814629354
Traditional AC,3.154688761764456
Traditional AC,2.072284567915287
Traditional AC,1.256101194936391
Traditional AC,1.225134685640245
Traditional AC,3.6124328277496915
Traditional AC,3.1831566908559625
Traditional AC,1.2093969389207997
Traditional AC,1.4662623389177865
Traditional AC,1.4967709032270846
Traditional AC,1.586611327472246
Traditional AC,2.4399347245178884
Traditional AC,3.0941233465083413
Traditional AC,2.3678400175322665
Traditional AC,2.2782704147084387
Traditional AC,2.008956329916064
Traditional AC,2.153778486698914
Traditional AC,1.922823077539655
Traditional AC,2.476060229106557
Traditional AC,3.377731943827079
Traditional AC,2.671129786308315
Traditional AC,3.7099616718210795
Traditional AC,2.372429689871339
Traditional AC,1.6363207289150807
Traditional AC,1.7075201667263529
Traditional AC,1.3669707292620965
Traditional AC,3.3123113196650333
Traditional AC,1.5736546203372532
Traditional AC,1.6811034459730216
Traditional AC,2.832440962112605
Traditional AC,2.4030073962819922
Traditional AC,1.3241551601928014
Traditional AC,2.9981818461045764
Traditional AC,2.6095537976572483
Traditional AC,1.280606186325818
Traditional AC,1.1589114635607511
Traditional AC,2.674551794768054
Traditional AC,1.6829605144793722
Traditional AC,1.5970840475403336
Traditional AC,1.210407545218014
Traditional AC,0.9544043734387263
Traditional AC,2.9414597796149047
Traditional AC,2.2816252126478784
Traditional AC,1.9683298780992946
Traditional AC,1.7472085967160618
Traditional AC,1.5400051098937095
Traditional AC,1.8934542281970712
Traditional AC,1.4310886048981546
Traditional AC,2.4405677766495675
Traditional AC,1.3097429430869452
Traditional AC,3.884353709027697
Traditional AC,1.7333278525634601
Traditional AC,1.973875064717982
Traditional AC,4.170800174488131
Traditional AC,1.6098583611413686
Traditional AC,1.9095770055294963
Traditional AC,1.5955221662644414
Traditional AC,1.9287893253394937
Traditional AC,2.5281454103221863
Traditional AC,2.029593045978544
Traditional AC,2.8745017771880685
Traditional AC,3.4894872643263732
Traditional AC,1.2769271151595205
Traditional AC,1.7534194028555805
Traditional AC,1.462566364409376
Traditional AC,2.7624492212696237
Traditional AC,2.839332908275173
Traditional AC,2.0873255491969838
Traditional AC,1.562896568975638
Traditional AC,1.2565297848277714
Traditional AC,1.6541067104287266
Traditional AC,3.597999680312725
Traditional AC,2.729885799976247
Traditional AC,1.566663256324872
Traditional AC,2.036331577851116
Traditional AC,1.4697427607279243
Traditional AC,2.287426938706656
Traditional AC,2.6684547143183623
Traditional AC,1.3756442724401892
Traditional AC,2.940783959936766
Traditional AC,4.337480018892069
Traditional AC,2.5357065447436042
Traditional AC,1.9511942505270947
Traditional AC,2.4724031611490016
Traditional AC,1.2198795581264759
Traditional AC,1.5556069175417777
Traditional AC,1.2321964905608693
Traditional AC,2.1335283534562417
Traditional AC,2.0469988826464767
Traditional AC,1.1372587055206973
Traditional AC,3.1058054170986535
Traditional AC,2.211082840985276
Traditional AC,3.532559284057177
Traditional AC,2.331442019251975
Traditional AC,5.1464465152429435
Traditional AC,1.8932088564784613
Traditional AC,1.6549602854377794
Traditional AC,2.9371646949638324
Traditional AC,1.5686748423279209
Traditional AC,3.0648702803545103
Traditional AC,2.9048708607271765
Traditional AC,4.496454335697523
Traditional AC,1.3131184671647433
Traditional AC,1.1442847737015938
Traditional AC,2.068203420315637
Traditional AC,2.280766440392447
Traditional AC,3.0840461319751755
Traditional AC,2.5691864362695624
Traditional AC,3.8858346316087267
Traditional AC,1.8495355615097637
Traditional AC,1.1919084944660128
Traditional AC,3.0649647918484133
Traditional AC,2.37218253372178
Traditional AC,4.4662867290367565
Traditional AC,2.443835713950468
