scenario,run,h,vh_pct
Traditional AC,67,13,0.4935972241185297
Traditional AC,67,17,0.3559878241090004
Traditional AC,67,19,0.3098813753394713
Traditional AC,67,23,0.6548973532135391
Traditional AC,67,25,0.3545945592556933
Traditional AC,67,29,0.1902572861688015
Traditional AC,67,31,0.1713408280645149
Traditional AC,68,5,0.43407450035761186
Traditional AC,68,7,0.27155094501943006
Traditional AC,68,11,0.5683035151217528
Traditional AC,68,13,0.8509367867722233
Traditional AC,68,17,0.1715518977390525
Traditional AC,68,19,0.498354915863779
Traditional AC,68,23,0.34654753934655114
Traditional AC,68,25,0.5389541182384576
Traditional AC,68,29,0.08693499521680623
Traditional AC,68,31,0.028095173057874956
Traditional AC,69,5,0.35345180480940774
Traditional AC,69,7,0.1506229725842462
Traditional AC,69,11,5.053618561451902
Traditional AC,69,13,1.3343658312580315
Traditional AC,69,17,0.48469829628122857
Traditional AC,69,19,0.15838302826214354
Traditional AC,69,23,0.6300896864225105
