architecture,trial,harmonic_order,v_h_volts,v1_volts,individual_distortion_pct,mvasc3,line_scale
traditional_ac,0,5,265.84301275753563,57009.74314575195,0.4663115427092479,1975.770433316994,0.7912135023831303
traditional_ac,0,7,226.25076160877316,57009.74314575195,0.3968633239240127,1975.770433316994,0.7912135023831303
traditional_ac,0,11,150.65758121830953,57009.74314575195,0.26426637431629213,1975.770433316994,0.7912135023831303
traditional_ac,0,13,222.69481805241108,57009.74314575195,0.39062589263569597,1975.770433316994,0.7912135023831303
traditional_ac,0,17,166.56460989802432,57009.74314575195,0.29216867276911385,1975.770433316994,0.7912135023831303
traditional_ac,0,19,122.34959152856625,57009.74314575195,0.21461172209768686,1975.770433316994,0.7912135023831303
traditional_ac,0,23,209.0730461484388,57009.74314575195,0.36673213140764305,1975.770433316994,0.7912135023831303
traditional_ac,0,25,157.83384272527903,57009.74314575195,0.27685415512530676,1975.770433316994,0.7912135023831303
traditional_ac,1,5,577.5002140629653,45414.0906331244,1.2716322313448345,1057.0863621544863,0.8151930855106496
traditional_ac,1,7,947.8853814950771,45414.0906331244,2.0872054648248377,1057.0863621544863,0.8151930855106496
traditional_ac,1,11,563.9890110255573,45414.0906331244,1.2418811059803356,1057.0863621544863,0.8151930855106496
traditional_ac,1,13,521.2786708954875,45414.0906331244,1.1478346557825254,1057.0863621544863,0.8151930855106496
traditional_ac,1,17,62.02854981829069,45414.0906331244,0.13658437051924133,1057.0863621544863,0.8151930855106496
traditional_ac,1,19,308.79521048900017,45414.0906331244,0.6799546268218554,1057.0863621544863,0.8151930855106496
traditional_ac,1,23,90.65880348279961,45414.0906331244,0.19962703693702138,1057.0863621544863,0.8151930855106496
traditional_ac,1,25,115.71734565992301,45414.0906331244,0.25480493839398916,1057.0863621544863,0.8151930855106496
traditional_ac,2,5,516.2090130066141,55923.27526284461,0.9230664881131937,1857.6962331995571,1.3209318378528399
traditional_ac,2,7,472.1858661883757,55923.27526284461,0.8443458720346012,1857.6962331995571,1.3209318378528399
traditional_ac,2,11,255.8283441383022,55923.27526284461,0.45746309195211676,1857.6962331995571,1.3209318378528399
traditional_ac,2,13,211.20226910558577,55923.27526284461,0.37766434121198267,1857.6962331995571,1.3209318378528399
traditional_ac,2,17,168.61591502888652,55923.27526284461,0.30151294650818644,1857.6962331995571,1.3209318378528399
traditional_ac,2,19,245.94705879556224,55923.27526284461,0.439793731035223,1857.6962331995571,1.3209318378528399
traditional_ac,2,23,261.8671167323339,55923.27526284461,0.4682614090493341,1857.6962331995571,1.3209318378528399
traditional_ac,2,25,125.43277114845574,55923.27526284461,0.2242943936293252,1857.6962331995571,1.3209318378528399
traditional_ac,3,5,1039.729227868198,56677.12105464825,1.8344778431241913,1943.6767592319218,1.2505768813115863
traditional_ac,3,7,680.6658028533813,56677.12105464825,1.2009533832833206,1943.6767592319218,1.2505768813115863
traditional_ac,3,11,283.22852776929994,56677.12105464825,0.49972285553497003,1943.6767592319218,1.2505768813115863
traditional_ac,3,13,80.23962270172149,56677.12105464825,0.1415732154502947,1943.6767592319218,1.2505768813115863
