dataset_id,scenario_id,architecture,median_max_transfer_mw,p10_max_transfer_mw,p90_max_transfer_mw,median_efficiency_to_load_boundary,median_efficiency_to_800v,median_loss_mw_at_limit,median_thdv_p95_pct,median_p95_voltage_deviation_pct,median_p99_ramp_pct_load_per_s,lel_vrt_pass_fraction,median_lel_current_max_pu,median_lel_recovery_to_90pct_s,median_lel_load_loss_max_mw,median_lel_dc_buffer_event_mwh
A,C0,C0/C1 Traditional 400 V AC,403.90625,181.9296875,438.359375,0.9534357724841509,0.9534357724841509,18.424957647145412,5.704802189388621,3.522002913730288,40.9489745136099,0.0,1.7000000000000002,8.759999999999991,177.10920000000004,0.0
A,C2,MV SST,450.6640625,286.02734375,460.5078125,0.9639502699133549,0.9639502699133549,15.667232543817113,1.8271126397384827,2.0924516130818818,17.753478856075517,1.0,1.25,1.7800000000000011,182.88450000000006,0.0
A,C3,Converted DC backbone,544.1796875,544.1796875,544.1796875,0.9682952861869296,0.9682952861869296,17.81805691380231,0.2727080296841887,0.4491260537797695,1.6487788176225135,1.0,1.25,1.019999999999996,0.0,0.1489676603997346
B,C0,C0/C1 Traditional 400 V AC,794.716796875,654.755078125,900.90625,0.9632819338650791,0.9632819338650791,29.064140015508883,4.177998703531834,2.6080707194473476,40.94897451361026,0.0,1.7000000000000002,8.759999999999991,363.0738600000001,0.0
B,C2,MV SST,882.48046875,832.88828125,952.927734375,0.9748096598563757,0.9748096598563757,23.695325217292293,1.3181721854716146,1.5494767942026542,17.753478856075496,1.0,1.25,1.7800000000000011,374.91322500000007,0.0
B,C3,Converted DC backbone,923.9453125,843.7046875,1019.189453125,0.9756462758143819,0.9756462758143819,22.491688552340975,0.19629459181789155,0.3325813575103746,1.648778817622107,1.0,1.25,1.019999999999996,0.0,0.3053837038194558
