load_MW,length_km,saving_vs_traditional_MW,saving_vs_local_sst_MW,saving_vs_99pct_local_sst_sensitivity_MW,dc_loss_MW,traditional_loss_MW,local_sst_loss_MW,local_sst_99pct_sensitivity_loss_MW
100.0,5.0,0.7459934057711664,-0.4896678466724156,-1.0026933686751125,2.0406869975411444,2.7866804033123107,1.5510191508687288,1.0379936288660319
100.0,6.283783783783784,0.7499174376575799,-0.4859208932596595,-0.999019306582436,2.044174553780034,2.794091991437614,1.5582536605203747,1.0451552471975982
100.0,7.5675675675675675,0.7538414695439783,-0.4821739398469034,-0.9953452444897595,2.047662110018924,2.8015035795629024,1.5654881701720207,1.0523168655291646
100.0,8.85135135135135,0.7577655014303923,-0.4784269864341615,-0.9916711823970823,2.0511496662578135,2.808915167688206,1.572722679823652,1.0594784838607312
100.0,10.135135135135135,0.7616895333168059,-0.4746800330213903,-0.9879971203044056,2.0546372224966882,2.816326755813494,1.579957189475298,1.0666401021922827
100.0,11.41891891891892,0.7656135652032194,-0.4709330796086342,-0.984323058211729,2.058124778735578,2.8237383439387975,1.587191699126944,1.073801720523849
100.0,12.702702702702702,0.769537597089633,-0.46718612619587807,-0.9806489961190523,2.061612334974468,2.831149932064101,1.5944262087785899,1.0809633388554156
100.0,13.986486486486486,0.7734616289760323,-0.4634391727831362,-0.9769749340263754,2.0650998912133574,2.8385615201893897,1.6016607184302212,1.088124957186982
100.0,15.27027027027027,0.7773856608624459,-0.4596922193703801,-0.9733008719337137,2.068587447452247,2.845973108314693,1.6088952280818671,1.0952865755185335
100.0,16.554054054054056,0.7813096927488599,-0.4559452659576235,-0.9696268098410366,2.0720750036911366,2.8533846964399965,1.616129737733513,1.1024481938501
100.0,17.83783783783784,0.7852337246352583,-0.4521983125448823,-0.96595274774836,2.0755625599300265,2.860796284565285,1.6233642473851442,1.1096098121816664
100.0,19.12162162162162,0.7891577565216719,-0.44845135913212597,-0.9622786856556833,2.0790501161689163,2.868207872690588,1.6305987570367904,1.116771430513233
100.0,20.405405405405403,0.7930817884080712,-0.4447044057193694,-0.9586046235630212,2.0825376724078057,2.875619460815877,1.6378332666884363,1.1239330488447845
100.0,21.68918918918919,0.7970058202944843,-0.4409574523066133,-0.9549305614703447,2.0860252286466956,2.88303104894118,1.6450677763400823,1.1310946671763509
100.0,22.972972972972972,0.8009298521808978,-0.4372104988938721,-0.951256499377668,2.0895127848855855,2.8904426370664833,1.6523022859917134,1.1382562855079175
100.0,24.256756756756758,0.8048538840672972,-0.43346354548111554,-0.9475824372850059,2.093000341124475,2.897854225191772,1.6595367956433593,1.145417903839469
100.0,25.54054054054054,0.8087779159537258,-0.4297165920683441,-0.9439083751923143,2.0964878973633496,2.9052658133170755,1.6667713052950055,1.1525795221710353
100.0,26.824324324324323,0.8127019478401394,-0.425969638655588,-0.9402343130996376,2.0999754536022395,2.912677401442379,1.6740058149466515,1.159741140502602
100.0,28.10810810810811,0.8166259797265378,-0.4222226852428468,-0.936560251006961,2.1034630098411293,2.920088989567667,1.6812403245982825,1.1669027588341683
100.0,29.39189189189189,0.8205500116129518,-0.41847573183009024,-0.932886188914299,2.1069505660800187,2.9275005776929706,1.6884748342499285,1.1740643771657198
100.0,30.675675675675677,0.8244740434993507,-0.4147287784173339,-0.9292121268216222,2.1104381223189086,2.9349121658182593,1.6957093439015747,1.1812259954972864
100.0,31.95945945945946,0.8283980753857643,-0.4109818250045778,-0.9255380647289457,2.1139256785577984,2.9423237539435627,1.7029438535532206,1.1883876138288527
100.0,33.24324324324324,0.8323221072721778,-0.40723487159183613,-0.9218640026362686,2.117413234796688,2.9497353420688657,1.7101783632048517,1.1955492321604193
100.0,34.52702702702703,0.8362461391585767,-0.40348791817908003,-0.9181899405436069,2.1209007910355777,2.9571469301941544,1.7174128728564977,1.2027108504919708
100.0,35.81081081081081,0.8401701710449903,-0.3997409647663237,-0.9145158784509304,2.1243883472744676,2.964558518319458,1.7246473825081439,1.2098724688235372
100.0,37.0945945945946,0.8440942029314042,-0.39599401135358203,-0.9108418163582532,2.127875903513357,2.9719701064447612,1.731881892159775,1.2170340871551037
100.0,38.37837837837838,0.8480182348178027,-0.3922470579408259,-0.9071677542655767,2.131363459752247,2.9793816945700495,1.739116401811421,1.2241957054866701
100.0,39.66216216216216,0.8519422667042464,-0.3885001045280396,-0.9034936921728849,2.1348510159911065,2.986793282695353,1.7463509114630669,1.2313573238182216
100.0,40.945945945945944,0.8558662985906453,-0.3847531511152833,-0.8998196300802082,2.1383385722299963,2.9942048708206417,1.753585421114713,1.2385189421497882
100.0,42.229729729729726,0.8597903304770589,-0.38100619770254207,-0.8961455679875316,2.141826128468886,3.001616458945945,1.7608199307663441,1.2456805604813546
100.0,43.513513513513516,0.8637143623634729,-0.3772592442897855,-0.8924715058948545,2.1453136847077756,3.0090280470712485,1.76805444041799,1.2528421788129211
100.0,44.7972972972973,0.8676383942498713,-0.3735122908770294,-0.8887974438021928,2.1488012409466655,3.016439635196537,1.775288950069636,1.2600037971444726
100.0,46.08108108108108,0.8715624261362853,-0.36976533746427265,-0.8851233817095159,2.152288797185555,3.02385122332184,1.7825234597212822,1.267165415476039
100.0,47.36486486486486,0.8754864580226838,-0.3660183840515314,-0.8814493196168391,2.1557763534244447,3.0312628114471285,1.7897579693729133,1.2743270338076056
100.0,48.648648648648646,0.8794104899090973,-0.3622714306387753,-0.8777752575241775,2.1592639096633346,3.038674399572432,1.7969924790245593,1.281488652139157
100.0,49.932432432432435,0.8833345217955113,-0.35852447722601877,-0.8741011954315006,2.162751465902224,3.0460859876977353,1.8042269886762052,1.2886502704707234
100.0,51.21621621621622,0.8872585536819102,-0.35477752381326266,-0.8704271333388238,2.166239022141114,3.053497575823024,1.8114614983278512,1.29581188880229
100.0,52.5,0.8911825855683237,-0.3510305704005212,-0.8667530712461473,2.1697265783800037,3.0609091639483275,1.8186960079794825,1.3029735071338564
100.0,53.78378378378378,0.8951066174547377,-0.34728361698776467,-0.8630790091534852,2.173214134618893,3.068320752073631,1.8259305176311285,1.310135125465408
100.0,55.067567567567565,0.8990306493411513,-0.34353666357499346,-0.8594049470607934,2.176701690857768,3.075732340198919,1.8331650272827744,1.3172967437969745
100.0,56.351351351351354,0.9029546812275648,-0.33978971016223736,-0.8557308849681169,2.1801892470966577,3.0831439283242226,1.8403995369344204,1.3244583621285408
100.0,57.63513513513514,0.9068787131139633,-0.3360427567494959,-0.8520568228754402,2.1836768033355476,3.090555516449511,1.8476340465860517,1.3316199804601074
100.0,58.91891891891892,0.9108027450003773,-0.33229580333673936,-0.8483827607827781,2.187164359574437,3.0979671045748143,1.8548685562376976,1.338781598791659
100.0,60.2027027027027,0.9147267768867908,-0.32854884992398325,-0.8447086986901016,2.190651915813327,3.1053786927001177,1.8621030658893436,1.3459432171232253
100.0,61.486486486486484,0.9186508087731897,-0.324801896511242,-0.8410346365974248,2.1941394720522167,3.1127902808254064,1.8693375755409747,1.3531048354547919
100.0,62.77027027027027,0.9225748406596037,-0.32105494309848526,-0.8373605745047479,2.197627028291106,3.12020186895071,1.8765720851926209,1.3602664537863582
100.0,64.05405405405406,0.9264988725460173,-0.31730798968572915,-0.8336865124120862,2.201114584529996,3.1276134570760132,1.8838065948442668,1.3674280721179097
100.0,65.33783783783784,0.9304229044324157,-0.31356103627297305,-0.8300124503194095,2.204602140768886,3.1350250452013015,1.8910411044959128,1.3745896904494763
