dataset_id,dataset_role,pocket_id,scenario_id,architecture,thdv_p50_pct,thdv_p95_pct,thdv_max_pct,source_count
A,Full Texas Combined T&D,A-mpc-0001,C0,C0/C1 Traditional 400 V AC,3.467647214134627,5.496493350415279,8.310342016093607,3
A,Full Texas Combined T&D,A-mpc-0001,C2,MV SST,1.1195569937205792,1.864267311747681,2.210678024820811,3
A,Full Texas Combined T&D,A-mpc-0001,C3,Converted DC backbone,0.2066883279578972,0.27017834934999585,0.3260013920819095,1
A,Full Texas Combined T&D,A-mpc-0002,C0,C0/C1 Traditional 400 V AC,3.420005577104278,5.6596271369014834,7.948956493204234,3
A,Full Texas Combined T&D,A-mpc-0002,C2,MV SST,1.121097108041944,1.8372506421755952,2.715610188804702,3
A,Full Texas Combined T&D,A-mpc-0002,C3,Converted DC backbone,0.20302278923637576,0.2762652311364937,0.3203247024991273,1
A,Full Texas Combined T&D,A-mpc-0003,C0,C0/C1 Traditional 400 V AC,3.576881448372201,5.744841232076217,7.779997230800501,3
A,Full Texas Combined T&D,A-mpc-0003,C2,MV SST,1.106839380154113,1.8455779261163878,2.462956750738446,3
A,Full Texas Combined T&D,A-mpc-0003,C3,Converted DC backbone,0.20029638268115374,0.26860716262880563,0.31897352298347237,1
A,Full Texas Combined T&D,A-mpc-0004,C0,C0/C1 Traditional 400 V AC,3.535602724572153,5.882439572646535,7.9041607261119635,3
A,Full Texas Combined T&D,A-mpc-0004,C2,MV SST,1.1039816747177635,1.826398503972644,2.3987366031784907,3
A,Full Texas Combined T&D,A-mpc-0004,C3,Converted DC backbone,0.20127143125382363,0.26969201382301267,0.32075043511639484,1
A,Full Texas Combined T&D,A-mpc-0008,C0,C0/C1 Traditional 400 V AC,3.4935255621868526,5.594472467491033,7.114631060247346,3
A,Full Texas Combined T&D,A-mpc-0008,C2,MV SST,1.0949695751292778,1.842746871259229,2.3210120433912826,3
A,Full Texas Combined T&D,A-mpc-0008,C3,Converted DC backbone,0.20334172370413675,0.27734454037242834,0.32733423062999983,1
A,Full Texas Combined T&D,A-mpc-0009,C0,C0/C1 Traditional 400 V AC,3.4736744322961237,5.78592875209763,7.70958021984947,3
A,Full Texas Combined T&D,A-mpc-0009,C2,MV SST,1.1253922343841425,1.832100646553202,2.4289656499237884,3
A,Full Texas Combined T&D,A-mpc-0009,C3,Converted DC backbone,0.2018801606221144,0.27696366821751717,0.32487073167358055,1
A,Full Texas Combined T&D,A-mpc-0010,C0,C0/C1 Traditional 400 V AC,3.4725484713425088,5.631379901122765,7.563834631923088,3
A,Full Texas Combined T&D,A-mpc-0010,C2,MV SST,1.1160520993097816,1.8159859301457568,2.665653567240322,3
A,Full Texas Combined T&D,A-mpc-0010,C3,Converted DC backbone,0.20293210433789483,0.27729029658393206,0.30849495566005586,1
A,Full Texas Combined T&D,A-mpc-0011,C0,C0/C1 Traditional 400 V AC,3.5017386506422943,5.518518651152656,8.680805100184253,3
A,Full Texas Combined T&D,A-mpc-0011,C2,MV SST,1.1407485634296788,1.9046951454654804,2.6793223341767387,3
A,Full Texas Combined T&D,A-mpc-0011,C3,Converted DC backbone,0.20237504475835927,0.27889785081354057,0.3278616661933277,1
A,Full Texas Combined T&D,A-mpc-0015,C0,C0/C1 Traditional 400 V AC,3.4562149180752453,5.497287157769342,7.292731510285161,3
A,Full Texas Combined T&D,A-mpc-0015,C2,MV SST,1.1207289506446068,1.8205111013358273,2.5602179152177795,3
A,Full Texas Combined T&D,A-mpc-0015,C3,Converted DC backbone,0.2027646517705652,0.27240047827024316,0.31879435829778996,1
A,Full Texas Combined T&D,A-mpc-0016,C0,C0/C1 Traditional 400 V AC,3.4764696257736056,5.569668184645973,7.4394889359187095,3
A,Full Texas Combined T&D,A-mpc-0016,C2,MV SST,1.1081798412100967,1.7995506667240917,2.5528709819955844,3
A,Full Texas Combined T&D,A-mpc-0016,C3,Converted DC backbone,0.20080541956808162,0.26649909466717614,0.3204647309326852,1
A,Full Texas Combined T&D,A-mpc-0017,C0,C0/C1 Traditional 400 V AC,3.531659317200125,5.865206041295897,7.335400999876911,3
A,Full Texas Combined T&D,A-mpc-0017,C2,MV SST,1.0967334222698408,1.8429318870743372,2.42445794781795,3
A,Full Texas Combined T&D,A-mpc-0017,C3,Converted DC backbone,0.20038767155771062,0.2734337338940627,0.3694525145963944,1
A,Full Texas Combined T&D,A-mpc-0021,C0,C0/C1 Traditional 400 V AC,3.4210099871502697,5.8269389474812705,8.051673122061947,3
A,Full Texas Combined T&D,A-mpc-0021,C2,MV SST,1.1325683146079393,1.858261389815354,2.4272148409558856,3
A,Full Texas Combined T&D,A-mpc-0021,C3,Converted DC backbone,0.1998635675322379,0.2733030005034624,0.32562552139295375,1
A,Full Texas Combined T&D,A-mpc-0022,C0,C0/C1 Traditional 400 V AC,3.52730023528913,5.824706334829356,7.951521485665415,3
A,Full Texas Combined T&D,A-mpc-0022,C2,MV SST,1.0906046451331624,1.8067115432486847,2.6361207164803684,3
A,Full Texas Combined T&D,A-mpc-0022,C3,Converted DC backbone,0.20263353269730883,0.2768473974776872,0.32182019236340764,1
A,Full Texas Combined T&D,A-mpc-0026,C0,C0/C1 Traditional 400 V AC,3.4610927281318564,5.49350537298166,7.645727070112391,3
A,Full Texas Combined T&D,A-mpc-0026,C2,MV SST,1.0719096724898296,1.7624074889369334,2.5048507885455087,3
A,Full Texas Combined T&D,A-mpc-0026,C3,Converted DC backbone,0.20195624475255436,0.2696093230272618,0.3268425535717907,1
A,Full Texas Combined T&D,A-mpc-0027,C0,C0/C1 Traditional 400 V AC,3.5840358094742255,5.7951867570592706,8.337794496580042,3
A,Full Texas Combined T&D,A-mpc-0027,C2,MV SST,1.1265474699238491,1.779121161771209,2.646866888564768,3
A,Full Texas Combined T&D,A-mpc-0027,C3,Converted DC backbone,0.19887381344826155,0.26678387490936434,0.3148352347586422,1
A,Full Texas Combined T&D,A-mpc-0028,C0,C0/C1 Traditional 400 V AC,3.5037915030550852,5.622386426670657,7.784399368258485,3
A,Full Texas Combined T&D,A-mpc-0028,C2,MV SST,1.1459819464240273,1.789934601624626,2.679237702712869,3
A,Full Texas Combined T&D,A-mpc-0028,C3,Converted DC backbone,0.2038582083092877,0.2738787897569311,0.326232959559365,1
A,Full Texas Combined T&D,A-mpc-0032,C0,C0/C1 Traditional 400 V AC,3.478811127547258,5.704014080214461,7.933888450627266,3
A,Full Texas Combined T&D,A-mpc-0032,C2,MV SST,1.1101313804450268,1.8302935844191985,2.6134242203620337,3
A,Full Texas Combined T&D,A-mpc-0032,C3,Converted DC backbone,0.2016175309547983,0.2736664645595545,0.30856190992006766,1
A,Full Texas Combined T&D,A-mpc-0033,C0,C0/C1 Traditional 400 V AC,3.501040590734454,6.0364913697790445,7.92690014804733,3
A,Full Texas Combined T&D,A-mpc-0033,C2,MV SST,1.1035255299640356,1.8056989745145606,2.312240662349675,3
A,Full Texas Combined T&D,A-mpc-0033,C3,Converted DC backbone,0.20204324433889423,0.26921727621586666,0.32641537705165125,1
A,Full Texas Combined T&D,A-mpc-0037,C0,C0/C1 Traditional 400 V AC,3.5693764614670522,5.6275987290003515,7.1238693610855925,3
A,Full Texas Combined T&D,A-mpc-0037,C2,MV SST,1.141619709104135,1.8928993264748282,2.3397318221621366,3
A,Full Texas Combined T&D,A-mpc-0037,C3,Converted DC backbone,0.20158295927793718,0.2751586695090739,0.3236558007693547,1
A,Full Texas Combined T&D,A-mpc-0038,C0,C0/C1 Traditional 400 V AC,3.4957095820883834,5.650215162207514,7.482063098555894,3
A,Full Texas Combined T&D,A-mpc-0038,C2,MV SST,1.098250874987599,1.7638701701010269,2.8556908024744283,3
A,Full Texas Combined T&D,A-mpc-0038,C3,Converted DC backbone,0.19978526380011527,0.2725901949696481,0.3282083194611436,1
A,Full Texas Combined T&D,A-mpc-0042,C0,C0/C1 Traditional 400 V AC,3.467035769358305,5.523619038317202,7.4624430716668675,3
A,Full Texas Combined T&D,A-mpc-0042,C2,MV SST,1.1093670433160805,1.7701118334072583,2.339745427798081,3
