time_s,poi_voltage_pu,poi_angle_rad,poi_bus,event
0.02,1.01656852,-0.13620191,150,1
0.04,1.01670801,-0.13734454,150,1
0.06,1.01681083,-0.13807864,150,1
0.08,1.01684617,-0.13858181,150,1
0.1,1.01682941,-0.1389798,150,1
0.12,1.01678109,-0.13934732,150,1
0.14,1.01671722,-0.13972527,150,1
0.16,1.01664852,-0.14013491,150,1
0.18,1.01658159,-0.14058677,150,1
0.2,1.01652022,-0.14108575,150,1
0.22,1.01646632,-0.14163383,150,1
0.24,1.01642061,-0.14223148,150,1
0.26,1.01638305,-0.14287841,150,1
0.28,1.01635317,-0.14357394,150,1
0.3,1.01633025,-0.14431718,150,1
0.32,1.01631347,-0.14510715,150,1
0.34,1.01630196,-0.14594283,150,1
0.36,1.01629492,-0.14682315,150,1
0.38,1.01629159,-0.14774707,150,1
0.4,1.01629128,-0.14871354,150,1
0.42,1.01629342,-0.14972153,150,1
0.44,1.0162975,-0.15077001,150,1
0.46,1.01630309,-0.15185799,150,1
0.48,1.01630985,-0.15298446,150,1
0.5,1.01631747,-0.15414846,150,1
0.52,1.01632573,-0.15534902,150,1
0.54,1.01633442,-0.1565852,150,1
0.56,1.01634339,-0.15785608,150,1
0.58,1.01635251,-0.15916072,150,1
0.6,1.01636168,-0.16049825,150,1
0.62,1.01637081,-0.16186776,150,1
0.64,1.01637983,-0.16326839,150,1
0.66,1.01638868,-0.16469928,150,1
0.68,1.01639732,-0.16615958,150,1
0.7,1.0164057,-0.16764846,150,1
0.72,1.01641378,-0.16916511,150,1
0.74,1.01642154,-0.1707087,150,1
0.76,1.01642896,-0.17227845,150,1
0.78,1.01643601,-0.17387357,150,1
0.8,1.01644267,-0.17549327,150,1
0.82,1.01644893,-0.1771368,150,1
0.84,1.01645478,-0.17880339,150,1
0.86,1.01646021,-0.18049229,150,1
0.88,1.01646523,-0.18220276,150,1
0.9,1.01646984,-0.18393405,150,1
0.92,1.01647403,-0.18568545,150,1
0.94,1.01647782,-0.18745622,150,1
0.96,1.01648122,-0.18924564,150,1
0.98,1.01648425,-0.19105301,150,1
1.0,0.10224176,0.02029028,150,1
1.02,0.09603573,0.17736983,150,1
1.04,0.09359132,0.21213263,150,1
1.06,0.90561374,0.02551485,150,1
1.08,0.94998004,-0.06383536,150,1
1.1,0.97984213,-0.09939935,150,1
1.12,0.99980456,-0.11026172,150,1
1.14,1.01415508,-0.1093481,150,1
1.16,1.02530519,-0.10287705,150,1
1.18,1.0343777,-0.094009,150,1
1.2,1.04189065,-0.08430003,150,1
1.22,1.04771906,-0.07458272,150,1
1.24,1.05194638,-0.06514794,150,1
1.26,1.05482916,-0.05612345,150,1
1.28,1.05660703,-0.04759492,150,1
1.3,1.05749543,-0.03962428,150,1
1.32,1.05768289,-0.03225762,150,1
1.34,1.05733052,-0.02552868,150,1
1.36,1.05657312,-0.01946057,150,1
1.38,1.05552137,-0.01406689,150,1
1.4,1.05426438,-0.00935265,150,1
1.42,1.05287261,-0.00531516,150,1
1.44,1.05140075,-0.00194485,150,1
1.46,1.04989038,0.00077367,150,1
1.48,1.04837251,0.00286071,150,1
