time_s,poi_voltage_pu,griddyn_field
2.640000,1.00000000,travis_proxy_event_voltage
2.660000,1.00000000,travis_proxy_event_voltage
2.680000,1.00000000,travis_proxy_event_voltage
2.700000,1.00000000,travis_proxy_event_voltage
2.720000,1.00000000,travis_proxy_event_voltage
2.740000,1.00000000,travis_proxy_event_voltage
2.760000,1.00000000,travis_proxy_event_voltage
2.780000,1.00000000,travis_proxy_event_voltage
2.800000,1.00000000,travis_proxy_event_voltage
2.820000,1.00000000,travis_proxy_event_voltage
2.840000,1.00000000,travis_proxy_event_voltage
2.860000,1.00000000,travis_proxy_event_voltage
2.880000,1.00000000,travis_proxy_event_voltage
2.900000,1.00000000,travis_proxy_event_voltage
2.920000,1.00000000,travis_proxy_event_voltage
2.940000,1.00000000,travis_proxy_event_voltage
2.960000,1.00000000,travis_proxy_event_voltage
2.980000,1.00000000,travis_proxy_event_voltage
3.000000,1.00000000,travis_proxy_event_voltage
3.020000,1.00000000,travis_proxy_event_voltage
3.040000,1.00000000,travis_proxy_event_voltage
3.060000,1.00000000,travis_proxy_event_voltage
3.080000,1.00000000,travis_proxy_event_voltage
3.100000,1.00000000,travis_proxy_event_voltage
3.120000,1.00000000,travis_proxy_event_voltage
3.140000,1.00000000,travis_proxy_event_voltage
3.160000,1.00000000,travis_proxy_event_voltage
3.180000,1.00000000,travis_proxy_event_voltage
3.200000,1.00000000,travis_proxy_event_voltage
3.220000,1.00000000,travis_proxy_event_voltage
3.240000,1.00000000,travis_proxy_event_voltage
3.260000,1.00000000,travis_proxy_event_voltage
3.280000,1.00000000,travis_proxy_event_voltage
3.300000,1.00000000,travis_proxy_event_voltage
3.320000,1.00000000,travis_proxy_event_voltage
3.340000,1.00000000,travis_proxy_event_voltage
3.360000,1.00000000,travis_proxy_event_voltage
3.380000,1.00000000,travis_proxy_event_voltage
3.400000,1.00000000,travis_proxy_event_voltage
3.420000,1.00000000,travis_proxy_event_voltage
3.440000,1.00000000,travis_proxy_event_voltage
3.460000,1.00000000,travis_proxy_event_voltage
3.480000,1.00000000,travis_proxy_event_voltage
3.500000,1.00000000,travis_proxy_event_voltage
3.520000,1.00000000,travis_proxy_event_voltage
3.540000,1.00000000,travis_proxy_event_voltage
3.560000,1.00000000,travis_proxy_event_voltage
3.580000,1.00000000,travis_proxy_event_voltage
3.600000,1.00000000,travis_proxy_event_voltage
3.620000,1.00000000,travis_proxy_event_voltage
3.640000,1.00000000,travis_proxy_event_voltage
3.660000,1.00000000,travis_proxy_event_voltage
3.680000,1.00000000,travis_proxy_event_voltage
3.700000,1.00000000,travis_proxy_event_voltage
3.720000,1.00000000,travis_proxy_event_voltage
3.740000,1.00000000,travis_proxy_event_voltage
3.760000,1.00000000,travis_proxy_event_voltage
3.780000,1.00000000,travis_proxy_event_voltage
3.800000,1.00000000,travis_proxy_event_voltage
3.820000,1.00000000,travis_proxy_event_voltage
3.840000,1.00000000,travis_proxy_event_voltage
3.860000,1.00000000,travis_proxy_event_voltage
3.880000,1.00000000,travis_proxy_event_voltage
3.900000,1.00000000,travis_proxy_event_voltage
3.920000,1.00000000,travis_proxy_event_voltage
3.940000,1.00000000,travis_proxy_event_voltage
3.960000,1.00000000,travis_proxy_event_voltage
3.980000,1.00000000,travis_proxy_event_voltage
4.000000,1.00000000,travis_proxy_event_voltage
4.020000,1.00000000,travis_proxy_event_voltage
4.040000,1.00000000,travis_proxy_event_voltage
4.060000,1.00000000,travis_proxy_event_voltage
4.080000,1.00000000,travis_proxy_event_voltage
4.100000,1.00000000,travis_proxy_event_voltage
4.120000,1.00000000,travis_proxy_event_voltage
4.140000,1.00000000,travis_proxy_event_voltage
4.160000,1.00000000,travis_proxy_event_voltage
4.180000,1.00000000,travis_proxy_event_voltage
4.200000,1.00000000,travis_proxy_event_voltage
4.220000,1.00000000,travis_proxy_event_voltage
4.240000,1.00000000,travis_proxy_event_voltage
4.260000,1.00000000,travis_proxy_event_voltage
4.280000,1.00000000,travis_proxy_event_voltage
4.300000,1.00000000,travis_proxy_event_voltage
4.320000,1.00000000,travis_proxy_event_voltage
4.340000,1.00000000,travis_proxy_event_voltage
4.360000,1.00000000,travis_proxy_event_voltage
4.380000,1.00000000,travis_proxy_event_voltage
4.400000,1.00000000,travis_proxy_event_voltage
4.420000,1.00000000,travis_proxy_event_voltage
4.440000,1.00000000,travis_proxy_event_voltage
4.460000,1.00000000,travis_proxy_event_voltage
4.480000,1.00000000,travis_proxy_event_voltage
4.500000,1.00000000,travis_proxy_event_voltage
4.520000,1.00000000,travis_proxy_event_voltage
4.540000,1.00000000,travis_proxy_event_voltage
4.560000,1.00000000,travis_proxy_event_voltage
4.580000,1.00000000,travis_proxy_event_voltage
4.600000,1.00000000,travis_proxy_event_voltage
4.620000,1.00000000,travis_proxy_event_voltage
4.640000,1.00000000,travis_proxy_event_voltage
4.660000,1.00000000,travis_proxy_event_voltage
4.680000,1.00000000,travis_proxy_event_voltage
4.700000,1.00000000,travis_proxy_event_voltage
4.720000,1.00000000,travis_proxy_event_voltage
4.740000,1.00000000,travis_proxy_event_voltage
4.760000,1.00000000,travis_proxy_event_voltage
4.780000,1.00000000,travis_proxy_event_voltage
4.800000,1.00000000,travis_proxy_event_voltage
4.820000,1.00000000,travis_proxy_event_voltage
4.840000,1.00000000,travis_proxy_event_voltage
4.860000,1.00000000,travis_proxy_event_voltage
4.880000,1.00000000,travis_proxy_event_voltage
4.900000,1.00000000,travis_proxy_event_voltage
4.920000,1.00000000,travis_proxy_event_voltage
4.940000,1.00000000,travis_proxy_event_voltage
4.960000,1.00000000,travis_proxy_event_voltage
4.980000,1.00000000,travis_proxy_event_voltage
5.000000,1.00000000,travis_proxy_event_voltage
5.020000,1.00000000,travis_proxy_event_voltage
5.040000,1.00000000,travis_proxy_event_voltage
5.060000,1.00000000,travis_proxy_event_voltage
5.080000,1.00000000,travis_proxy_event_voltage
5.100000,1.00000000,travis_proxy_event_voltage
5.120000,1.00000000,travis_proxy_event_voltage
5.140000,1.00000000,travis_proxy_event_voltage
5.160000,1.00000000,travis_proxy_event_voltage
5.180000,1.00000000,travis_proxy_event_voltage
5.200000,1.00000000,travis_proxy_event_voltage
5.220000,1.00000000,travis_proxy_event_voltage
5.240000,1.00000000,travis_proxy_event_voltage
5.260000,1.00000000,travis_proxy_event_voltage
5.280000,1.00000000,travis_proxy_event_voltage
5.300000,1.00000000,travis_proxy_event_voltage
5.320000,1.00000000,travis_proxy_event_voltage
5.340000,1.00000000,travis_proxy_event_voltage
5.360000,1.00000000,travis_proxy_event_voltage
5.380000,1.00000000,travis_proxy_event_voltage
5.400000,1.00000000,travis_proxy_event_voltage
5.420000,1.00000000,travis_proxy_event_voltage
5.440000,1.00000000,travis_proxy_event_voltage
5.460000,1.00000000,travis_proxy_event_voltage
5.480000,1.00000000,travis_proxy_event_voltage
5.500000,1.00000000,travis_proxy_event_voltage
5.520000,1.00000000,travis_proxy_event_voltage
5.540000,1.00000000,travis_proxy_event_voltage
5.560000,1.00000000,travis_proxy_event_voltage
5.580000,1.00000000,travis_proxy_event_voltage
5.600000,1.00000000,travis_proxy_event_voltage
5.620000,1.00000000,travis_proxy_event_voltage
5.640000,1.00000000,travis_proxy_event_voltage
5.660000,1.00000000,travis_proxy_event_voltage
5.680000,1.00000000,travis_proxy_event_voltage
5.700000,1.00000000,travis_proxy_event_voltage
5.720000,1.00000000,travis_proxy_event_voltage
5.740000,1.00000000,travis_proxy_event_voltage
5.760000,1.00000000,travis_proxy_event_voltage
5.780000,1.00000000,travis_proxy_event_voltage
5.800000,1.00000000,travis_proxy_event_voltage
5.820000,1.00000000,travis_proxy_event_voltage
5.840000,1.00000000,travis_proxy_event_voltage
5.860000,1.00000000,travis_proxy_event_voltage
5.880000,1.00000000,travis_proxy_event_voltage
5.900000,1.00000000,travis_proxy_event_voltage
5.920000,1.00000000,travis_proxy_event_voltage
5.940000,1.00000000,travis_proxy_event_voltage
5.960000,1.00000000,travis_proxy_event_voltage
5.980000,1.00000000,travis_proxy_event_voltage
6.000000,1.00000000,travis_proxy_event_voltage
6.020000,1.00000000,travis_proxy_event_voltage
6.040000,1.00000000,travis_proxy_event_voltage
6.060000,1.00000000,travis_proxy_event_voltage
6.080000,1.00000000,travis_proxy_event_voltage
6.100000,1.00000000,travis_proxy_event_voltage
6.120000,1.00000000,travis_proxy_event_voltage
6.140000,1.00000000,travis_proxy_event_voltage
6.160000,1.00000000,travis_proxy_event_voltage
6.180000,1.00000000,travis_proxy_event_voltage
6.200000,1.00000000,travis_proxy_event_voltage
6.220000,1.00000000,travis_proxy_event_voltage
6.240000,1.00000000,travis_proxy_event_voltage
6.260000,1.00000000,travis_proxy_event_voltage
6.280000,1.00000000,travis_proxy_event_voltage
6.300000,1.00000000,travis_proxy_event_voltage
6.320000,1.00000000,travis_proxy_event_voltage
6.340000,1.00000000,travis_proxy_event_voltage
6.360000,1.00000000,travis_proxy_event_voltage
6.380000,1.00000000,travis_proxy_event_voltage
6.400000,1.00000000,travis_proxy_event_voltage
