time_s,poi_voltage_pu,poi_angle_rad,poi_bus
0.000000,1.01660454,-0.13451618,150
0.020000,1.01656852,-0.13620191,150
0.040000,1.01670801,-0.13734454,150
0.060000,1.01681083,-0.13807864,150
0.080000,1.01684617,-0.13858181,150
0.100000,1.01682941,-0.13897980,150
0.120000,1.01678109,-0.13934732,150
0.140000,1.01671722,-0.13972527,150
0.160000,1.01664852,-0.14013491,150
0.180000,1.01658159,-0.14058677,150
0.200000,1.01652022,-0.14108575,150
0.220000,1.01646632,-0.14163383,150
0.240000,1.01642061,-0.14223148,150
0.260000,1.01638305,-0.14287841,150
0.280000,1.01635317,-0.14357394,150
0.300000,1.01633025,-0.14431718,150
0.320000,1.01631347,-0.14510715,150
0.340000,1.01630196,-0.14594283,150
0.360000,1.01629492,-0.14682315,150
0.380000,1.01629159,-0.14774707,150
0.400000,1.01629128,-0.14871354,150
0.420000,1.01629342,-0.14972153,150
0.440000,1.01629750,-0.15077001,150
0.460000,1.01630309,-0.15185799,150
0.480000,1.01630985,-0.15298446,150
0.500000,1.01631747,-0.15414846,150
0.520000,1.01632573,-0.15534902,150
0.540000,1.01633442,-0.15658520,150
0.560000,1.01634339,-0.15785608,150
0.580000,1.01635251,-0.15916072,150
0.600000,1.01636168,-0.16049825,150
0.620000,1.01637081,-0.16186776,150
0.640000,1.01637983,-0.16326839,150
0.660000,1.01638868,-0.16469928,150
0.680000,1.01639732,-0.16615958,150
0.700000,1.01640570,-0.16764846,150
0.720000,1.01641378,-0.16916511,150
0.740000,1.01642154,-0.17070870,150
0.760000,1.01642896,-0.17227845,150
0.780000,1.01643601,-0.17387357,150
0.800000,1.01644267,-0.17549327,150
0.820000,1.01644893,-0.17713680,150
0.840000,1.01645478,-0.17880339,150
0.860000,1.01646021,-0.18049229,150
0.880000,1.01646523,-0.18220276,150
0.900000,1.01646984,-0.18393405,150
0.920000,1.01647403,-0.18568545,150
0.940000,1.01647782,-0.18745622,150
0.960000,1.01648122,-0.18924564,150
0.980000,1.01648425,-0.19105301,150
1.000000,0.10224176,0.02029028,150
1.020000,0.09603573,0.17736983,150
1.040000,0.09359132,0.21213263,150
1.060000,0.90561374,0.02551485,150
1.080000,0.94998004,-0.06383536,150
1.100000,0.97984213,-0.09939935,150
1.120000,0.99980456,-0.11026172,150
1.140000,1.01415508,-0.10934810,150
1.160000,1.02530519,-0.10287705,150
1.180000,1.03437770,-0.09400900,150
1.200000,1.04189065,-0.08430003,150
1.220000,1.04771906,-0.07458272,150
1.240000,1.05194638,-0.06514794,150
1.260000,1.05482916,-0.05612345,150
1.280000,1.05660703,-0.04759492,150
1.300000,1.05749543,-0.03962428,150
1.320000,1.05768289,-0.03225762,150
1.340000,1.05733052,-0.02552868,150
1.360000,1.05657312,-0.01946057,150
1.380000,1.05552137,-0.01406689,150
1.400000,1.05426438,-0.00935265,150
1.420000,1.05287261,-0.00531516,150
1.440000,1.05140075,-0.00194485,150
1.460000,1.04989038,0.00077367,150
1.480000,1.04837251,0.00286071,150
1.500000,1.04686977,0.00434045,150
1.520000,1.04539836,0.00523996,150
1.540000,1.04396962,0.00558823,150
1.560000,1.04259134,0.00541527,150
1.580000,1.04126888,0.00475130,150
1.600000,1.04000590,0.00362606,150
1.620000,1.03880496,0.00206822,150
1.640000,1.03766793,0.00010498,150
1.660000,1.03659623,-0.00223820,150
1.680000,1.03559092,-0.00493780,150
1.700000,1.03465273,-0.00797221,150
1.720000,1.03378203,-0.01132165,150
1.740000,1.03297873,-0.01496801,150
1.760000,1.03224224,-0.01889459,150
1.780000,1.03157131,-0.02308586,150
1.800000,1.03096402,-0.02752715,150
1.820000,1.03041772,-0.03220443,150
1.840000,1.02992904,-0.03710403,150
1.860000,1.02949393,-0.04221250,150
1.880000,1.02910771,-0.04751646,150
1.900000,1.02876519,-0.05300256,150
1.920000,1.02846083,-0.05865742,150
1.940000,1.02818882,-0.06446776,150
1.960000,1.02794330,-0.07042041,150
1.980000,1.02771849,-0.07650250,150
2.000000,1.02750884,-0.08270155,150
2.020000,1.02730920,-0.08900571,150
2.040000,1.02711489,-0.09540384,150
2.060000,1.02692182,-0.10188569,150
2.080000,1.02672658,-0.10844195,150
2.100000,1.02652642,-0.11506439,150
2.120000,1.02631929,-0.12174582,150
2.140000,1.02610379,-0.12848007,150
2.160000,1.02587914,-0.13526193,150
2.180000,1.02564510,-0.14208703,150
2.200000,1.02540189,-0.14895167,150
2.220000,1.02515008,-0.15585267,150
2.240000,1.02489051,-0.16278713,150
2.260000,1.02462421,-0.16975230,150
2.280000,1.02435230,-0.17674534,150
2.300000,1.02407594,-0.18376317,150
2.320000,1.02379631,-0.19080235,150
2.340000,1.02351452,-0.19785895,150
2.360000,1.02323166,-0.20492853,150
2.380000,1.02294874,-0.21200606,150
2.400000,1.02266675,-0.21908600,150
2.420000,1.02238667,-0.22616229,150
2.440000,1.02210946,-0.23322848,150
2.460000,1.02183613,-0.24027780,150
2.480000,1.02156770,-0.24730328,150
2.500000,1.02130527,-0.25429790,150
2.520000,1.02104996,-0.26125467,150
2.540000,1.02080297,-0.26816677,150
2.560000,1.02056550,-0.27502764,150
2.580000,1.02033876,-0.28183109,150
2.600000,1.02012393,-0.28857132,150
2.620000,1.01992212,-0.29524299,150
2.640000,1.01973430,-0.30184124,150
2.660000,1.01956134,-0.30836171,150
2.680000,1.01940388,-0.31480051,150
2.700000,1.01926234,-0.32115418,150
2.720000,1.01913691,-0.32741973,150
2.740000,1.01902750,-0.33359451,150
2.760000,1.01893376,-0.33967626,150
2.780000,1.01885508,-0.34566303,150
2.800000,1.01879058,-0.35155315,150
2.820000,1.01873917,-0.35734522,150
2.840000,1.01869954,-0.36303812,150
2.860000,1.01867024,-0.36863094,150
2.880000,1.01864969,-0.37412304,150
2.900000,1.01863624,-0.37951403,150
2.920000,1.01862823,-0.38480376,150
2.940000,1.01862397,-0.38999238,150
2.960000,1.01862186,-0.39508030,150
2.980000,1.01862037,-0.40006821,150
